Sun Mar 15 16:19:44 2015,v1large,v2large,diff_large(FRA),,v1small,v2small,diffsmall(FRA),,Sun Mar 15 01:40:33 2015,largev1,largev2,diff_large(ASIA),,small_v1,small_v2,diff_small(ASIA),,,large_v1,large_v2,difflarge(LOC),,Small_v1,Small_v2,diff_small(LOC),,largev1(CA),largev2(CA),difflargeCA,,smallv1CA,smallv2CA,diff
number_of_requests,mean_request,mean_request,,,mean_request,mean_request,,,number_of_requests,mean_request,mean_request,,,mean_request,mean_request,,,number_of_requests,mean_request,mean_request,,,mean_request,mean_request,,,mean_request,mean_request,,,mean_request,mean_request,
1,7.099,7.846,-0.747,,8.032,6.82,1.212,,1,293.273,268.003,25.27,,289.944,284.599,5.345,,1,1.0076,0.7021,0.3055,,1.0794,5.7437,-4.6643,,158.187,152.471,5.716,,143.905,148.279,-4.374
3,6.996,6.922,0.074,,200.786,6.891,193.895,,3,292.451,269.961,22.49,,290.89,285.132,5.758,,3,1.0483,0.6901,0.3582,,229.528,0.6319,228.8961,,156.754,151.763,4.991,,146.466,147.938,-1.472
5,7.057,7.003,0.054,,7.146,6.859,0.287,,5,293.051,268.539,24.512,,289.742,284.023,5.719,,5,1.502,0.9462,0.5558,,1.2563,1.0476,0.2087,,156.495,152.157,4.338,,145.876,148.111,-2.235
7,7.033,6.98,0.053,,7.175,6.895,0.28,,7,293.245,268.789,24.456,,290.288,283.98,6.308,,7,1.925,1.495,0.43,,1.63,1.3499,0.2801,,157.529,151.324,6.205,,145.408,148.227,-2.819
9,7.039,7.001,0.038,,7.176,6.88,0.296,,9,293.549,268.467,25.082,,289.902,284.257,5.645,,9,2.485,2.405,0.08,,1.929,2.324,-0.395,,157.78,152.069,5.711,,146.31,148.031,-1.721
11,7.047,7.242,-0.195,,7.113,6.875,0.238,,11,292.822,268.145,24.677,,289.995,284.51,5.485,,11,2.882,2.362,0.52,,2.398,2.408,-0.01,,156.273,152.124,4.149,,146.138,147.736,-1.598
13,7.047,6.968,0.079,,7.147,6.893,0.254,,13,293.466,268.731,24.735,,290.215,284.34,5.875,,13,3.735,2.655,1.08,,2.75,2.863,-0.113,,157.472,151.455,6.017,,145.613,147.938,-2.325
15,7.082,6.879,0.203,,7.148,6.826,0.322,,15,293.189,268.915,24.274,,289.868,283.87,5.998,,15,4.088,3.881,0.207,,3.181,3.551,-0.37,,157.142,151.906,5.236,,145.582,147.95,-2.368
17,7.062,6.973,0.089,,7.203,6.957,0.246,,17,293.146,268.37,24.776,,289.927,283.209,6.718,,17,4.713,5.036,-0.323,,4.687,4.153,0.534,,153.124,151.86,1.264,,145.721,147.707,-1.986
