Sun Mar 15 01:40:33 2015,largev1,largev2,diff_large,,small_v1,small_v2,diff_small
number_of_requests,mean_request,mean_request,,,mean_request,mean_request,
1,293.273,268.003,25.27,,289.944,284.599,5.345
3,292.451,269.961,22.49,,290.89,285.132,5.758
5,293.051,268.539,24.512,,289.742,284.023,5.719
7,293.245,268.789,24.456,,290.288,283.98,6.308
9,293.549,268.467,25.082,,289.902,284.257,5.645
11,292.822,268.145,24.677,,289.995,284.51,5.485
13,293.466,268.731,24.735,,290.215,284.34,5.875
15,293.189,268.915,24.274,,289.868,283.87,5.998
17,293.146,268.37,24.776,,289.927,283.209,6.718
19,293.042,292.442,0.6,,290.507,281.458,9.049
21,292.762,268.456,24.306,,290.058,280.414,9.644
23,292.788,268.711,24.077,,289.941,280.786,9.155
25,293.319,286.55,6.769,,290.034,281.388,8.646
27,293.441,268.416,25.025,,289.761,281.196,8.565
29,292.745,308.999,-16.254,,290.066,280.945,9.121
31,292.843,269.247,23.596,,290.28,280.867,9.413
33,293.193,268.392,24.801,,290.447,281.118,9.329
35,293.28,291.931,1.349,,290.172,281.329,8.843
37,292.902,268.661,24.241,,289.997,281.267,8.73
39,292.889,268.539,24.35,,290.122,280.815,9.307
41,293.118,268.421,24.697,,290.062,280.983,9.079
43,293.032,268.432,24.6,,289.977,281.082,8.895
45,293.16,268.696,24.464,,290.074,281.106,8.968
47,292.667,268.724,23.943,,290.167,281.02,9.147
49,293.116,268.754,24.362,,290.044,281.222,8.822
51,293.021,268.527,24.494,,289.944,281.074,8.87
53,292.779,268.617,24.162,,290.066,281.099,8.967
55,293.022,269.388,23.634,,290.195,281.263,8.932
57,287.419,268.103,19.316,,290.098,280.892,9.206
59,281.326,268.258,13.068,,289.97,280.849,9.121
61,281.22,268.34,12.88,,290.172,281.102,9.07
63,281.475,268.205,13.27,,290.031,280.84,9.191
65,281.564,268.578,12.986,,299.063,281.118,17.945
67,281.162,268.586,12.576,,290.134,281.182,8.952
69,281.332,268.304,13.028,,290.068,281,9.068
71,281.145,268.566,12.579,,290.091,281.093,8.998
73,281.617,268.455,13.162,,289.786,280.787,8.999
75,281.38,268.628,12.752,,289.924,281.06,8.864
77,281.393,268.319,13.074,,290.113,281.219,8.894
79,281.351,268.492,12.859,,290.126,280.815,9.311
81,281.492,268.452,13.04,,289.965,280.914,9.051
83,281.253,268.576,12.677,,290.114,281.211,8.903
85,281.525,268.639,12.886,,290.077,281.075,9.002
87,281.323,276.354,4.969,,289.982,280.946,9.036
89,281.457,268.503,12.954,,289.924,280.961,8.963
91,281.39,268.345,13.045,,290.099,280.886,9.213
93,281.491,273.747,7.744,,296.622,281.056,15.566
95,281.422,268.521,12.901,,290.053,281.167,8.886
97,281.256,268.592,12.664,,289.986,281.275,8.711
99,281.254,268.775,12.479,,292.414,281.041,11.373
101,281.42,269.111,12.309,,293.099,280.823,12.276
103,281.536,268.698,12.838,,292.821,280.83,11.991
105,281.376,269.069,12.307,,293.118,280.843,12.275
107,281.346,269.323,12.023,,292.823,281.215,11.608
109,281.303,268.947,12.356,,292.822,280.934,11.888
111,281.472,268.699,12.773,,293.355,281.003,12.352
113,281.233,268.899,12.334,,292.735,280.981,11.754
115,281.438,268.898,12.54,,292.967,280.93,12.037
117,281.329,280.399,0.93,,292.896,281.185,11.711
119,281.442,268.679,12.763,,293.068,281.053,12.015
121,281.468,268.62,12.848,,292.941,280.814,12.127
123,281.365,268.648,12.717,,293.003,281.022,11.981
125,281.328,270.123,11.205,,292.996,281.115,11.881
