Sun Mar 15 01:40:33 2015
number_of_requests,total_time_test,req_per_sec_v2,speed,traffic_total,traffic_header,traffic_data,min_request,max_request,mean_request,sd_request,sd_percent_request,succeeded_requests,succeeded_failed
1,1175.0000,0.00,5.10,6144,132,5964,293.2730,293.2730,293.2730,0.0000,100.00,1,0
3,1189.0000,2.00,15.14,18432,396,17892,287.5450,296.5880,292.4510,3.9750,60.00,3,0
5,1198.0000,4.00,25.01,30720,660,29820,288.1190,299.0280,293.0510,4.2200,58.00,5,0
7,1198.0000,5.00,35.01,43008,924,41748,288.6110,299.2080,293.2450,3.8640,58.57,7,0
9,1200.0000,7.00,44.95,55296,1188,53676,287.0570,299.2060,293.5490,3.9800,62.23,9,0
11,1200.0000,9.00,54.90,67584,1452,65604,287.3920,299.4890,292.8220,4.1320,64.55,11,0
13,1203.0000,10.00,64.77,79872,1716,77532,286.9140,299.4720,293.4660,4.4170,52.31,13,0
15,1203.0000,12.00,74.72,92160,1980,89460,286.7630,299.4860,293.1890,4.3220,50.00,15,0
17,1202.0000,14.00,84.68,104448,2244,101388,286.6670,299.4430,293.1460,4.0120,57.06,17,0
19,1210.0000,15.00,94.47,116736,2508,113316,286.5900,299.5110,293.0420,4.3670,50.53,19,0
21,1208.0000,17.00,104.42,129024,2772,125244,286.5870,299.4750,292.7620,4.1490,55.24,21,0
23,1210.0000,18.90,114.24,141312,3036,137172,286.5720,299.4900,292.7880,4.4720,53.04,23,0
25,1210.0000,20.00,123.95,153600,3300,149100,286.6020,299.4600,293.3190,4.2620,52.40,25,0
27,1211.0000,22.00,133.59,165888,3564,161028,286.5910,299.4540,293.4410,4.3490,48.15,27,0
29,1212.0000,23.00,143.44,178176,3828,172956,286.5580,299.5210,292.7450,4.6190,45.52,29,0
31,1214.0000,25.00,153.12,190464,4092,184884,286.5550,299.4750,292.8430,4.5310,47.42,31,0
33,1217.0000,26.90,162.65,202752,4356,196812,286.5430,299.5060,293.1930,4.5270,48.18,33,0
