Sat Mar 14 20:23:55 2015
number_of_requests,total_time_test,req_per_sec_v2,speed,traffic_total,traffic_header,traffic_data,min_request,max_request,mean_request,sd_request,sd_percent_request,succeeded_requests,succeeded_failed
1,1076.0000,0.00,5.53,6093,87,5964,268.0030,268.0030,268.0030,0.0000,100.00,1,0
3,1093.0000,2.00,16.30,18279,261,17892,267.3230,272.4460,269.9610,2.3326,63.34,3,0
5,1097.0000,4.00,27.05,30465,435,29820,263.3710,273.7820,268.5390,3.8530,54.00,5,0
7,1099.0000,6.00,37.79,42651,609,41748,262.2120,274.3720,268.7890,4.3330,61.43,7,0
9,1100.0000,8.00,48.64,54837,783,53676,262.1540,273.7040,268.4670,3.8040,70.00,9,0
11,1103.0000,9.10,59.21,67023,957,65604,262.1300,274.2900,268.1450,4.2620,66.37,11,0
13,1107.0000,11.00,69.92,79209,1131,77532,262.1450,274.9870,268.7310,4.2560,51.54,13,0
15,1110.0000,13.00,80.59,91395,1305,89460,262.1490,274.9970,268.9150,4.2220,57.34,15,0
17,1109.0000,15.00,91.34,103581,1479,101388,261.9750,274.9180,268.3700,4.0620,56.47,17,0
19,1363.0000,15.10,91.30,115767,1653,113316,262.7410,343.8900,292.4420,33.6380,51.05,19,0
21,1110.0000,18.00,112.57,127953,1827,125244,262.6160,274.9180,268.4560,4.1120,54.76,21,0
23,1110.0000,20.00,123.11,140139,2001,137172,262.0640,274.9770,268.7110,4.4510,49.13,23,0
25,1206.0000,21.00,127.47,152325,2175,149100,263.1910,367.7400,286.5500,29.9250,55.20,25,0
27,1113.0000,24.00,144.18,164511,2349,161028,262.0250,274.8890,268.4160,4.5490,51.11,27,0
29,1332.0000,23.00,139.40,176697,2523,172956,263.5120,433.0900,308.9990,47.4010,57.93,29,0
31,1218.0000,25.70,157.21,188883,2697,184884,261.9070,299.8840,269.2470,8.3200,58.71,31,0
33,1120.0000,29.00,175.43,201069,2871,196812,261.9930,274.9030,268.3920,4.5230,47.57,33,0
35,1242.0000,29.30,176.12,213255,3045,208740,262.9470,399.4140,291.9310,36.3860,54.86,35,0
37,1123.0000,32.40,196.08,225441,3219,220668,261.8970,274.9610,268.6610,4.3840,49.73,37,0
39,1123.0000,34.00,206.40,237627,3393,232596,261.9110,274.9580,268.5390,4.3820,51.28,39,0
41,1174.0000,34.80,210.16,249813,3567,244524,261.9940,274.9880,268.4210,4.2850,53.66,41,0
43,1128.0000,38.00,227.14,261999,3741,256452,261.9670,275.0390,268.4320,4.4220,50.47,43,0
45,1130.0000,39.00,237.46,274185,3915,268380,261.9690,274.9500,268.6960,4.5590,47.11,45,0
47,1129.0000,41.00,247.59,286371,4089,280308,261.8800,274.9690,268.7240,4.4760,49.36,47,0
49,1130.0000,43.00,258.11,298557,4263,292236,261.9930,274.9600,268.7540,4.3710,51.02,49,0
51,1134.0000,44.50,267.66,310743,4437,304164,261.9740,275.0780,268.5270,4.4650,50.00,51,0
53,1136.0000,46.00,277.70,322929,4611,316092,261.8760,275.0580,268.6170,4.4290,51.13,53,0
