Sat Mar 14 22:00:17 2015
number_of_requests,total_time_test,req_per_sec_v2,speed,traffic_total,traffic_header,traffic_data,min_request,max_request,mean_request,sd_request,sd_percent_request,succeeded_requests,succeeded_failed
1,1162.0000,0.00,2.06,2453,131,2274,289.9440,289.9440,289.9440,0.0000,100.00,1,0
3,1182.0000,2.00,6.09,7359,393,6822,286.9510,294.4750,290.8900,3.1517,50.00,3,0
5,1184.0000,4.00,10.12,12265,655,11370,283.9640,295.3020,289.7420,4.0540,56.00,5,0
7,1188.0000,5.00,14.10,17171,917,15918,285.1760,296.2120,290.2880,3.9300,64.28,7,0
9,1188.0000,7.00,18.13,22077,1179,20466,283.9240,296.0920,289.9020,4.4900,48.89,9,0
11,1190.0000,9.00,22.10,26983,1441,25014,283.8720,296.5970,289.9950,4.5030,52.73,11,0
13,1190.0000,10.00,26.12,31889,1703,29562,283.9000,296.5410,290.2150,4.2270,52.31,13,0
15,1191.0000,12.00,30.13,36795,1965,34110,283.7760,296.5580,289.8680,4.2660,49.33,15,0
17,1191.0000,14.00,34.12,41701,2227,38658,283.6780,296.5340,289.9270,4.3150,50.59,17,0
19,1196.0000,15.00,38.08,46607,2489,43206,283.7290,296.5810,290.5070,4.1930,54.21,19,0
21,1198.0000,17.00,42.07,51513,2751,47754,283.6320,296.5510,290.0580,4.5240,52.38,21,0
23,1198.0000,19.00,46.05,56419,3013,52302,283.6620,296.5380,289.9410,4.3030,51.30,23,0
25,1200.0000,20.00,49.92,61325,3275,56850,283.6630,296.5610,290.0340,4.5000,47.60,25,0
27,1200.0000,22.00,53.87,66231,3537,61398,283.6850,296.5170,289.7610,4.1400,54.44,27,0
29,1201.0000,23.90,57.81,71137,3799,65946,283.6280,296.5400,290.0660,4.3100,52.07,29,0
31,1202.0000,25.00,61.71,76043,4061,70494,283.6500,296.5790,290.2800,4.3480,52.26,31,0
33,1207.0000,27.00,65.55,80949,4323,75042,283.6120,296.5640,290.4470,4.5430,46.97,33,0
35,1205.0000,28.80,69.56,85855,4585,79590,283.6150,296.5610,290.1720,4.5130,48.00,35,0
37,1208.0000,30.00,73.47,90761,4847,84138,283.6240,296.6380,289.9970,4.5200,48.38,37,0
39,1211.0000,31.90,77.25,95667,5109,88686,283.6310,296.6100,290.1220,4.4650,49.74,39,0
41,1210.0000,33.00,81.19,100573,5371,93234,283.5750,296.5350,290.0620,4.4730,49.76,41,0
43,1213.0000,35.00,84.91,105479,5633,97782,283.5340,296.5780,289.9770,4.5390,48.37,43,0
45,1212.0000,37.00,88.84,110385,5895,102330,283.5830,296.6210,290.0740,4.4880,49.11,45,0
47,1211.0000,38.00,92.82,115291,6157,106878,283.5740,296.5840,290.1670,4.2350,54.68,47,0
49,1217.0000,40.00,96.49,120197,6419,111426,283.5380,296.5840,290.0440,4.4070,51.22,49,0
51,1219.0000,41.10,100.30,125103,6681,115974,283.5600,296.5230,289.9440,4.3520,51.96,51,0
53,1218.0000,43.00,104.22,130009,6943,120522,283.5280,296.5190,290.0660,4.5350,47.92,53,0
55,1220.0000,44.70,107.91,134915,7205,125070,283.5400,296.5610,290.1950,4.2770,53.09,55,0
57,1221.0000,46.00,111.76,139821,7467,129618,283.5500,296.5790,290.0980,4.4970,49.12,57,0
59,1223.0000,48.00,115.40,144727,7729,134166,283.5590,296.6690,289.9700,4.3650,52.03,59,0
61,1227.0000,49.00,119.09,149633,7991,138714,283.5520,296.5500,290.1720,4.4030,51.48,61,0
63,1226.0000,51.00,123.03,154539,8253,143262,283.5430,296.5760,290.0310,4.3760,52.38,63,0
65,1355.0000,49.50,120.04,159445,8515,147810,284.2840,421.8830,299.0630,25.7130,56.46,65,0
67,1230.0000,54.00,130.40,164351,8777,152358,283.5290,296.5640,290.1340,4.3550,52.24,67,0
69,1232.0000,55.60,134.23,169257,9039,156906,283.5250,296.6050,290.0680,4.5380,48.70,69,0
71,1233.0000,57.00,137.81,174163,9301,161454,283.5260,296.5470,290.0910,4.4130,50.99,71,0
73,1232.0000,58.80,141.75,179069,9563,166002,283.5400,296.7510,289.7860,4.3970,51.51,73,0
75,1240.0000,60.00,145.04,183975,9825,170550,283.5230,296.6480,289.9240,4.4870,49.87,75,0
77,1240.0000,61.80,148.92,188881,10087,175098,283.5360,296.6670,290.1130,4.4550,50.13,77,0
79,1243.0000,63.00,152.11,193787,10349,179646,283.5230,296.5890,290.1260,4.4990,49.62,79,0
81,1243.0000,64.80,156.19,198693,10611,184194,283.5220,296.5430,289.9650,4.5100,49.01,81,0
83,1247.0000,66.10,159.52,203599,10873,188742,283.5050,296.6130,290.1140,4.4660,50.12,83,0
85,1248.0000,67.80,163.29,208505,11135,193290,283.5150,296.6600,290.0770,4.4000,51.53,85,0
87,1250.0000,69.00,166.90,213411,11397,197838,283.5180,296.8740,289.9820,4.5000,49.77,87,0
89,1248.0000,71.00,170.80,218317,11659,202386,283.5220,296.6250,289.9240,4.6250,46.96,89,0
91,1253.0000,72.00,173.84,223223,11921,206934,283.5380,296.5960,290.0990,4.4480,50.55,91,0
93,1343.0000,70.70,170.38,228129,12183,211482,284.1790,391.0580,296.6220,22.4800,52.80,93,0
95,1340.0000,72.00,174.12,233035,12445,216030,283.4870,297.0030,290.0530,4.4630,50.42,95,0
97,1252.0000,76.90,185.45,237941,12707,220578,283.5050,296.8140,289.9860,4.5920,47.53,97,0
99,1268.0000,77.60,187.17,242847,12969,225126,286.1360,299.2780,292.4140,4.3990,51.72,99,0
101,1272.0000,79.10,190.15,247753,13231,229674,286.4330,299.5940,293.0990,4.5290,49.01,101,0
103,1277.0000,80.20,193.41,252659,13493,234222,286.4320,299.7280,292.8210,4.4880,49.90,103,0
105,1275.0000,82.10,197.36,257565,13755,238770,286.4350,299.9090,293.1180,4.4900,50.00,105,0
107,1273.0000,83.50,201.19,262471,14017,243318,286.4060,299.7000,292.8230,4.4860,50.00,107,0
109,1278.0000,85.00,204.32,267377,14279,247866,286.4180,299.9120,292.8220,4.4510,51.01,109,0
111,1277.0000,86.60,208.08,272283,14541,252414,286.4190,301.0390,293.3550,4.6740,50.81,111,0
113,1283.0000,87.50,211.02,277189,14803,256962,286.4120,299.6040,292.7350,4.5130,49.47,113,0
115,1281.0000,89.10,214.74,282095,15065,261510,286.4190,299.6910,292.9670,4.5400,48.87,115,0
117,1284.0000,90.70,218.27,287001,15327,266058,286.4090,299.4890,292.8960,4.3190,53.76,117,0
119,1288.0000,92.10,221.46,291907,15589,270606,286.4150,299.5930,293.0680,4.4930,49.75,119,0
121,1288.0000,93.40,224.90,296813,15851,275154,286.4110,299.6500,292.9410,4.4720,50.41,121,0
123,1292.0000,94.80,228.30,301719,16113,279702,286.4120,299.5510,293.0030,4.3740,52.60,123,0
125,1294.0000,96.20,231.44,306625,16375,284250,286.4010,299.5250,292.9960,4.3990,51.76,125,0
127,1355.0000,94.70,227.74,311531,16637,288798,286.3960,363.7840,293.4450,9.7620,55.59,127,0
129,1291.0000,99.50,239.34,316437,16899,293346,286.3990,299.5500,292.7850,4.4810,50.23,129,0
131,1294.0000,100.70,242.38,321343,17161,297894,286.4050,299.5910,292.9780,4.4830,50.23,131,0
133,1297.0000,102.00,245.41,326249,17423,302442,286.3900,299.5700,292.9920,4.5010,49.62,133,0
135,1302.0000,103.00,248.26,331155,17685,306990,286.4080,299.4970,292.9660,4.5260,49.33,135,0
137,1300.0000,104.90,252.66,336061,17947,311538,286.4030,299.4630,292.9810,4.4150,51.24,137,0
139,1303.0000,106.10,255.27,340967,18209,316086,286.3840,299.5280,292.9130,4.5810,47.84,139,0
141,1297.0000,108.20,260.39,345873,18471,320634,286.4070,299.9280,292.9410,4.5240,49.58,141,0
143,1303.0000,109.20,262.83,350779,18733,325182,286.4010,299.6170,292.9030,4.5110,49.30,143,0
145,1304.0000,110.90,266.48,355685,18995,329730,286.4150,299.7400,292.8160,4.4690,50.35,145,0
147,1313.0000,111.50,268.20,360591,19257,334278,286.4080,300.2920,293.0350,4.5310,49.80,147,0
149,1312.0000,112.90,271.85,365497,19519,338826,286.4010,299.7210,293.0510,4.5240,49.33,149,0
151,1310.0000,114.70,275.91,370403,19781,343374,286.4040,299.7090,292.8750,4.4860,50.27,151,0
153,1313.0000,116.10,279.33,375309,20043,347922,286.4100,299.5030,292.9060,4.4580,50.59,153,0
155,1314.0000,117.50,282.50,380215,20305,352470,286.3980,299.7690,292.9380,4.5210,49.22,155,0
157,1313.0000,118.80,286.22,385121,20567,357018,286.4180,299.6130,293.0090,4.4510,50.83,157,0
159,1319.0000,120.10,288.90,390027,20829,361566,286.4040,300.6180,292.9910,4.5190,50.75,159,0
161,1317.0000,122.00,293.15,394933,21091,366114,286.3790,299.5800,292.9680,4.4440,51.18,161,0
163,1322.0000,122.80,295.22,399839,21353,370662,286.3980,299.7730,292.9260,4.3980,52.21,163,0
165,1324.0000,124.30,298.72,404745,21615,375210,286.3970,299.7690,292.9860,4.4580,50.85,165,0
167,1328.0000,125.30,301.36,409651,21877,379758,286.4040,299.4820,292.8460,4.4870,50.00,167,0
169,1391.0000,122.60,294.93,414557,22139,384306,286.3990,363.0870,293.3480,8.9630,55.50,169,0
171,1333.0000,127.70,307.14,419463,22401,388854,286.3930,299.6350,292.9920,4.5250,49.18,171,0
173,1329.0000,129.60,311.92,424369,22663,393402,286.3890,299.8060,292.9530,4.4680,50.52,173,0
175,1330.0000,131.10,315.03,429275,22925,397950,286.4060,299.7500,292.9490,4.5520,48.69,175,0
177,1330.0000,132.50,318.83,434181,23187,402498,286.4000,299.7690,292.9680,4.5390,49.04,177,0
179,1335.0000,133.60,321.13,439087,23449,407046,286.3930,299.5950,292.7860,4.5150,49.50,179,0
181,1335.0000,135.20,324.98,443993,23711,411594,286.4010,299.8000,293.0300,4.4620,50.66,181,0
183,1340.0000,136.00,327.36,448899,23973,416142,286.4090,299.6270,292.9800,4.5240,49.34,183,0
185,1336.0000,138.00,331.77,453805,24235,420690,286.4210,299.6100,292.7890,4.4800,50.32,185,0
187,1350.0000,138.10,332.14,458711,24497,425238,286.3970,299.6320,292.9310,4.4880,49.89,187,0
189,1340.0000,140.70,338.05,463617,24759,429786,286.3920,299.5980,292.9240,4.5470,49.10,189,0
191,1351.0000,141.00,338.79,468523,25021,434334,286.4190,299.6840,293.0030,4.4010,52.04,191,0
193,1350.0000,142.70,342.85,473429,25283,438882,286.4200,301.0320,293.0730,4.5360,51.09,193,0
195,1378.0000,141.40,340.29,478335,25545,443430,286.3910,336.5420,293.1910,6.7200,56.15,195,0
197,1349.0000,145.60,349.83,483241,25807,447978,286.4040,299.6460,292.9170,4.4330,51.47,197,0
199,1352.0000,146.60,352.49,488147,26069,452526,286.4170,299.6640,292.9210,4.5220,49.60,199,0
201,1352.0000,147.80,355.70,493053,26331,457074,286.4080,299.5710,293.0330,4.4970,49.85,201,0
203,1361.0000,148.80,357.60,497959,26593,461622,286.4240,299.6420,292.9610,4.4800,50.39,203,0
205,1356.0000,150.70,362.14,502865,26855,466170,286.4000,299.9290,292.9230,4.5500,48.98,205,0
207,1364.0000,151.40,363.62,507771,27117,470718,286.3930,299.6850,293.0100,4.5330,48.99,207,0
209,1361.0000,152.90,367.56,512677,27379,475266,286.4020,299.9130,292.8660,4.5170,49.62,209,0
211,1364.0000,154.10,370.53,517583,27641,479814,286.3860,301.0360,293.0020,4.5620,49.81,211,0
213,1368.0000,155.30,373.25,522489,27903,484362,286.4250,299.6780,292.9400,4.4900,50.28,213,0
215,1368.0000,156.80,376.79,527395,28165,488910,286.4150,299.6300,292.9910,4.4870,50.19,215,0
217,1369.0000,157.90,379.37,532301,28427,493458,286.4010,299.6030,292.9720,4.4730,50.55,217,0
219,1437.0000,154.00,370.03,537207,28689,498006,286.4050,366.8200,293.2800,8.6280,54.98,219,0
221,1374.0000,160.20,385.27,542113,28951,502554,286.3860,301.1900,293.1010,4.5730,53.12,221,0
223,1375.0000,161.70,388.26,547019,29213,507102,286.4090,307.2320,293.0310,4.7260,55.61,223,0
225,1376.0000,163.10,391.68,551925,29475,511650,286.3900,299.8840,292.8460,4.4520,51.07,225,0
227,1380.0000,164.00,394.01,556831,29737,516198,286.4040,299.6240,293.0110,4.5210,49.51,227,0
229,1380.0000,165.30,397.42,561737,29999,520746,286.3890,299.6110,292.9690,4.4890,50.22,229,0
231,1384.0000,166.30,399.88,566643,30261,525294,286.3910,299.6360,292.9370,4.5460,49.05,231,0
233,1425.0000,164.10,394.07,571549,30523,529842,286.4040,343.3680,293.1590,7.0210,54.03,233,0
235,1382.0000,169.50,407.07,576455,30785,534390,286.3950,300.0760,292.9090,4.4800,50.42,235,0
237,1412.0000,167.80,402.89,581361,31047,538938,286.4020,336.7760,293.0610,6.5410,54.77,237,0
239,1408.0000,169.30,406.93,586267,31309,543486,286.3990,334.5590,293.1230,6.3300,55.35,239,0
241,1369.0000,175.60,421.91,591173,31571,548034,281.7100,295.0970,288.2500,4.5450,49.00,241,0
243,1345.0000,180.30,433.26,596079,31833,552582,274.6790,287.9810,281.3090,4.4220,51.60,243,0
245,1373.0000,178.40,428.71,600985,32095,557130,274.6870,320.8870,281.3770,6.1770,56.24,245,0
247,1343.0000,183.20,440.15,605891,32357,561678,274.6790,288.0390,281.2470,4.4560,50.97,247,0
