,large_v1,large_v2,diff,,Small_v1,Small_v2,diff_small
number_of_requests,mean_request,mean_request,,,mean_request,mean_request,
1,1.0076,0.7021,0.3055,,1.0794,5.7437,-4.6643
3,1.0483,0.6901,0.3582,,229.528,0.6319,228.8961
5,1.502,0.9462,0.5558,,1.2563,1.0476,0.2087
7,1.925,1.495,0.43,,1.63,1.3499,0.2801
9,2.485,2.405,0.08,,1.929,2.324,-0.395
11,2.882,2.362,0.52,,2.398,2.408,-0.01
13,3.735,2.655,1.08,,2.75,2.863,-0.113
15,4.088,3.881,0.207,,3.181,3.551,-0.37
17,4.713,5.036,-0.323,,4.687,4.153,0.534
19,5.585,5.451,0.134,,5.14,5.119,0.021
21,5.988,6.002,-0.014,,5.566,5.154,0.412
23,6.688,6.919,-0.231,,6.542,6.157,0.385
25,8.265,7.172,1.093,,6.486,7.033,-0.547
27,8.983,8.293,0.69,,7.152,7.543,-0.391
29,9.509,8.018,1.491,,7.887,8.047,-0.16
31,10.012,9.018,0.994,,8.588,7.809,0.779
33,9.943,8.804,1.139,,9.143,8.557,0.586
35,11.154,9.413,1.741,,9.91,8.767,1.143
37,12.259,10.519,1.74,,10.044,9.64,0.404
39,12.544,10.793,1.751,,11.278,11.101,0.177
41,13.443,11.388,2.055,,11.449,11.247,0.202
43,14.124,12.025,2.099,,12.24,12.046,0.194
45,14.034,11.376,2.658,,12.249,12.419,-0.17
47,15.123,13.028,2.095,,13.369,13.219,0.15
49,15.538,13.368,2.17,,13.263,12.749,0.514
51,15.784,13.724,2.06,,14.705,13.785,0.92
53,16.903,14.892,2.011,,15.574,14.848,0.726
55,17.496,14.459,3.037,,15.508,15.021,0.487
57,17.586,15.278,2.308,,16.781,15.881,0.9
59,19.005,15.978,3.027,,17.347,16.322,1.025
61,19.541,16.669,2.872,,17.744,15.947,1.797
63,19.376,18.093,1.283,,17.966,16.454,1.512
65,19.638,19.266,0.372,,18.399,17.741,0.658
67,18.659,18.781,-0.122,,19.215,17.709,1.506
69,20.098,20.144,-0.046,,19.3,18.151,1.149
71,19.504,20.204,-0.7,,20.927,18.665,2.262
73,21.448,20.906,0.542,,21.33,19.51,1.82
75,22.671,21.405,1.266,,21.968,19.501,2.467
77,22.971,22.826,0.145,,23.173,20.759,2.414
79,26.268,23.136,3.132,,21.001,20.749,0.252
81,26.945,24.2,2.745,,22.698,21.559,1.139
83,26.89,24.211,2.679,,32.174,21.953,10.221
85,28.215,24.365,3.85,,22.238,21.975,0.263
87,28.889,25.334,3.555,,24.747,23.002,1.745
89,29.615,23.883,5.732,,24.469,24.314,0.155
91,30.064,19.261,10.803,,26.677,25.051,1.626
93,30.29,23.482,6.808,,25.718,25.89,-0.172
95,30.405,23.034,7.371,,28.957,24.468,4.489
97,30.299,27.101,3.198,,28.855,26.088,2.767
99,29.722,27.29,2.432,,29.778,22.539,7.239
101,29.625,29.547,0.078,,30.277,27.95,2.327
103,25.487,30.019,-4.532,,32.384,26.471,5.913
105,24.655,30.151,-5.496,,32.193,27.81,4.383
107,32.679,31.118,1.561,,32.788,28.843,3.945
109,38.088,31.141,6.947,,32.096,30.941,1.155
111,36.271,31.826,4.445,,33.124,30.09,3.034
113,38.435,32.751,5.684,,31.446,30.687,0.759
115,39.034,33.374,5.66,,29.002,31.331,-2.329
117,39.528,34.938,4.59,,28.089,31.499,-3.41
119,40.117,31.609,8.508,,29.547,32.367,-2.82
121,39.469,33.548,5.921,,38.173,34.235,3.938
123,39.973,34.937,5.036,,36.113,33.357,2.756
125,32.608,33.834,-1.226,,37.424,33.47,3.954
127,34.531,34.082,0.449,,38.258,31.223,7.035
129,40.609,33.751,6.858,,38.255,34.39,3.865
131,33.943,35.248,-1.305,,38.594,35.856,2.738
133,42.156,37.997,4.159,,42.223,34.262,7.961
135,43.708,39.179,4.529,,35.481,37.687,-2.206
137,45.813,40.118,5.695,,30.111,37.135,-7.024
139,46.745,39.64,7.105,,35.247,37.255,-2.008
141,47.099,39.97,7.129,,36.487,38.113,-1.626
143,46.235,40.621,5.614,,39.405,38.918,0.487
145,47.762,40.881,6.881,,42.522,38.621,3.901
147,40.28,38.788,1.492,,42.83,37.467,5.363
149,38.556,35.66,2.896,,42.921,38.911,4.01
151,48.142,39.88,8.262,,44.463,35.941,8.522
153,41.904,34.854,7.05,,43.381,34.201,9.18
155,47.91,32.59,15.32,,44.257,37.358,6.899
157,51.572,40.105,11.467,,37.666,34.997,2.669
159,49.089,39.886,9.203,,34.536,34.811,-0.275
161,48.353,41.051,7.302,,40.028,37.303,2.725
163,48.414,38.272,10.142,,40.907,39.924,0.983
165,40.907,40.846,0.061,,42.639,37.701,4.938
167,39.735,41.443,-1.708,,43.518,38.886,4.632
169,40.8,31.167,9.633,,44.72,40.197,4.523
171,40.15,33.651,6.499,,43.985,39.388,4.597
173,46.967,35.311,11.656,,45.429,37.263,8.166
175,49.03,37.69,11.34,,44.677,35.699,8.978
177,49.339,42.246,7.093,,39.95,35.008,4.942
179,49.716,39.819,9.897,,40.836,32.169,8.667
181,49.602,39.01,10.592,,43.182,39.782,3.4
183,49.406,40.569,8.837,,41.271,40.946,0.325
185,44.906,43.777,1.129,,44.365,41.278,3.087
187,46.111,34.26,11.851,,44.281,40.674,3.607
189,46.715,35.561,11.154,,46.575,40.799,5.776
191,52.945,32.795,20.15,,46.596,39.755,6.841
193,52.821,45.974,6.847,,42.708,34.948,7.76
195,66.386,57.571,8.815,,48.69,45.4,3.29
197,66.916,56.947,9.969,,60.929,51.713,9.216
199,67.163,58.587,8.576,,52.617,53.075,-0.458
201,53.273,57.649,-4.376,,61.123,56.367,4.756
203,59.521,54.225,5.296,,61.843,56.26,5.583
205,65.926,46.496,19.43,,65.71,57.371,8.339
207,61.051,49.668,11.383,,63.894,57.548,6.346
209,72.221,59.163,13.058,,61.062,57.216,3.846
211,71.433,61.104,10.329,,53.784,56.581,-2.797
213,71.886,62.375,9.511,,58.362,50.851,7.511
215,74.416,62.906,11.51,,54.342,51.137,3.205
217,56.027,63.215,-7.188,,67.973,58.203,9.77
219,73.627,57.509,16.118,,69.474,60.902,8.572
221,70.222,52.114,18.108,,71.549,61.359,10.19
223,77.141,51.756,25.385,,69.283,61.986,7.297
225,79.19,62.363,16.827,,61.406,62.441,-1.035
227,79.424,66.217,13.207,,57.371,61.474,-4.103
229,79.526,67.06,12.466,,59.218,60.565,-1.347
231,71.967,67.841,4.126,,66.675,54.424,12.251
233,74.228,69.236,4.992,,73.056,61.541,11.515
235,77.238,47.515,29.723,,73.957,64.529,9.428
237,74.368,67.239,7.129,,75.144,65.99,9.154
239,83.17,60.184,22.986,,68.642,67.505,1.137
241,83.369,72.827,10.542,,53.313,63.78,-10.467
243,83.398,71.341,12.057,,69.061,57.288,11.773
245,83.447,73.951,9.496,,79.785,60.645,19.14
247,79.031,69.785,9.246,,78.11,61.406,16.704
249,80.689,64.64,16.049,,75.909,66.365,9.544
251,72.814,64.104,8.71,,79.837,71.791,8.046
253,87.848,64.411,23.437,,73.56,70.106,3.454
255,90.35,72.023,18.327,,62.63,71.664,-9.034
257,88.902,76.244,12.658,,75.762,71.583,4.179
259,89.705,77.152,12.553,,82.758,64.234,18.524
261,64.498,77.808,-13.31,,79.159,69.882,9.277
263,80.899,59.393,21.506,,82.763,64.41,18.353
265,91.318,60.418,30.9,,80.024,71.176,8.848
267,91.662,64.695,26.967,,68.224,75.211,-6.987
269,92.112,79.059,13.053,,65.466,70.885,-5.419
271,90.153,76.002,14.151,,76.593,74.9,1.693
273,68.681,82.199,-13.518,,87.17,72.878,14.292
275,78.669,81.719,-3.05,,84.293,73.988,10.305
277,94.476,68.86,25.616,,85.422,64.684,20.738
279,96.51,78.261,18.249,,76.741,71.125,5.616
281,96.512,74.781,21.731,,75.226,75.134,0.092
283,93.375,80.212,13.163,,91.111,75.01,16.101
285,72.118,80.122,-8.004,,86.635,75.739,10.896
287,76.811,77.942,-1.131,,88.194,64.061,24.133
289,96.424,78.374,18.05,,87.595,74.479,13.116
291,99.451,66.432,33.019,,79.115,65.625,13.49
293,95.929,69.578,26.351,,82.161,77.581,4.58
295,82.877,74.561,8.316,,76.539,75.367,1.172
297,88.781,74.225,14.556,,88.883,74.876,14.007
299,93.121,75.058,18.063,,86.093,70.058,16.035
301,97.116,77.263,19.853,,87.536,60.508,27.028
303,95.613,76.848,18.765,,77.356,74.675,2.681
305,93.892,75.553,18.339,,68.717,71.081,-2.364
307,84.327,74.696,9.631,,81.849,71.77,10.079
309,88.055,78.346,9.709,,84.585,74.429,10.156
311,94.671,74.885,19.786,,86.661,75.102,11.559
313,96.428,74.862,21.566,,84.695,61.898,22.797
315,98.484,69.726,28.758,,81.294,57.929,23.365
317,92.75,67.715,25.035,,72.321,68.407,3.914
319,83.529,62.355,21.174,,81.785,70.313,11.472
321,92.734,71.835,20.899,,88.727,68.604,20.123
323,95.174,83.1,12.074,,83.396,66.711,16.685
325,88.939,73.548,15.391,,83.849,56.781,27.068
327,95.596,65.766,29.83,,66.904,56.888,10.016
329,89.58,67.367,22.213,,72.283,71.63,0.653
331,83.896,68.944,14.952,,88.154,73.949,14.205
333,96.51,77.536,18.974,,84.187,77.295,6.892
335,93.746,77.934,15.812,,81.736,69.403,12.333
337,92.761,72.146,20.615,,73.891,72.264,1.627
339,90.957,75.379,15.578,,78.114,68.724,9.39
341,87.885,73.499,14.386,,83.172,73.742,9.43
343,90.641,78.36,12.281,,84.343,74.773,9.57
345,89.792,77.861,11.931,,86.376,67.782,18.594
347,88.859,75.387,13.472,,82.814,72.076,10.738
349,80.134,82.555,-2.421,,63.921,68.877,-4.956
351,92.645,72.445,20.2,,77.995,75.693,2.302
353,93.003,76.2,16.803,,77.315,73.799,3.516
355,90.282,76.576,13.706,,77.69,72.814,4.876
357,85.52,75.248,10.272,,70.467,72.154,-1.687
359,82.317,77.246,5.071,,80.896,68.383,12.513
361,87.74,67.63,20.11,,81.744,67.093,14.651
363,95.999,68.959,27.04,,85.644,70.981,14.663
365,91.369,77.074,14.295,,79.628,71.448,8.18
367,76.535,83.05,-6.515,,78.23,69.098,9.132
369,83.529,82.982,0.547,,72.828,74.229,-1.401
371,100.264,71.476,28.788,,97.157,67.234,29.923
373,90.205,74.043,16.162,,85.115,76.318,8.797
375,90.72,85.29,5.43,,78.735,72.841,5.894
377,91.438,75.442,15.996,,75.946,75.862,0.084
379,93.791,78.053,15.738,,82.646,76.937,5.709
381,99.419,82.301,17.118,,89.046,71.733,17.313
383,95.921,76.078,19.843,,83.604,79.39,4.214
385,98.122,83.752,14.37,,78.508,80.157,-1.649
387,97.391,77.4,19.991,,86.238,72.484,13.754
389,83.467,74.268,9.199,,92.702,76.258,16.444
391,94.915,70.564,24.351,,94.358,73.274,21.084
393,94.162,73.696,20.466,,83.903,74.368,9.535
395,104.273,82.758,21.515,,80.981,71.073,9.908
397,102.471,86.428,16.043,,92.607,74.276,18.331
399,100.673,79.594,21.079,,92.868,86.833,6.035
401,95.326,69.364,25.962,,79.991,79.694,0.297
403,105.121,79.228,25.893,,78.68,65.296,13.384
405,89.795,81.161,8.634,,88.942,78.931,10.011
407,93.012,82.469,10.543,,92.91,78.227,14.683
409,96.487,88.421,8.066,,96.849,80.554,16.295
411,104.511,78.167,26.344,,87.581,76.694,10.887
413,92.56,73.081,19.479,,72.304,83.452,-11.148
415,90.199,79.337,10.862,,83.396,84.087,-0.691
417,87.772,84.021,3.751,,89.114,78.488,10.626
419,100.384,72.355,28.029,,90.088,82.547,7.541
421,93.406,88.171,5.235,,81.829,84.02,-2.191
423,84.783,89.227,-4.444,,95.138,83.72,11.418
