Sun Mar 15 16:19:44 2015,v1large,v2large,diff_large,,v1small,v2small,diffsmall
number_of_requests,mean_request,mean_request,,,mean_request,mean_request,
1,7.099,7.846,-0.747,,8.032,6.82,1.212
3,6.996,6.922,0.074,,200.786,6.891,193.895
5,7.057,7.003,0.054,,7.146,6.859,0.287
7,7.033,6.98,0.053,,7.175,6.895,0.28
9,7.039,7.001,0.038,,7.176,6.88,0.296
11,7.047,7.242,-0.195,,7.113,6.875,0.238
13,7.047,6.968,0.079,,7.147,6.893,0.254
15,7.082,6.879,0.203,,7.148,6.826,0.322
17,7.062,6.973,0.089,,7.203,6.957,0.246
19,7.102,7.011,0.091,,7.166,7.11,0.056
21,7.132,6.928,0.204,,7.197,6.92,0.277
23,7.188,7.029,0.159,,7.194,6.937,0.257
25,7.258,7.093,0.165,,7.234,7.037,0.197
27,7.35,7.172,0.178,,7.341,7.03,0.311
29,7.386,7.234,0.152,,7.411,7.157,0.254
31,7.421,7.498,-0.077,,7.545,7.247,0.298
33,7.589,7.541,0.048,,7.595,7.235,0.36
35,7.695,7.466,0.229,,7.828,7.337,0.491
37,7.843,7.584,0.259,,7.925,7.444,0.481
39,7.952,7.61,0.342,,7.965,7.414,0.551
41,8.014,7.617,0.397,,8.156,7.59,0.566
43,8.484,7.912,0.572,,8.221,7.852,0.369
45,8.595,7.578,1.017,,8.031,8.009,0.022
47,8.551,8.049,0.502,,8.368,7.81,0.558
49,8.426,8.1,0.326,,8.584,8.181,0.403
51,9.165,8.302,0.863,,8.894,7.785,1.109
53,9.143,8.333,0.81,,8.746,8.14,0.606
55,9.548,8.381,1.167,,9.187,8.095,1.092
57,10.057,8.336,1.721,,10.245,8.472,1.773
59,9.332,8.263,1.069,,9.6,8.31,1.29
61,9.795,8.847,0.948,,9.514,8.261,1.253
63,9.813,8.547,1.266,,9.646,8.607,1.039
65,9.961,8.641,1.32,,9.222,8.416,0.806
67,10.165,9.008,1.157,,9.275,8.322,0.953
69,10.293,8.952,1.341,,9.778,8.635,1.143
71,10.012,9.125,0.887,,9.984,8.579,1.405
73,11.299,8.562,2.737,,10.375,8.943,1.432
75,10.251,8.799,1.452,,10.49,8.822,1.668
77,11.096,9.663,1.433,,9.714,8.792,0.922
79,11.427,9.172,2.255,,10.22,8.916,1.304
81,10.363,9.465,0.898,,10.031,9.374,0.657
83,11.244,9.265,1.979,,10.829,8.564,2.265
85,11.431,9.677,1.754,,10.803,9.301,1.502
87,11.574,9.502,2.072,,10.304,9.397,0.907
89,11.852,9.411,2.441,,10.723,9.298,1.425
91,12.018,9.779,2.239,,10.615,9.046,1.569
93,12.217,10.886,1.331,,10.413,9.648,0.765
95,12.424,10.275,2.149,,11.137,10.1,1.037
97,12.7,10.858,1.842,,10.542,9.847,0.695
99,12.293,10.317,1.976,,11.844,9.571,2.273
101,12.339,9.917,2.422,,11.265,9.358,1.907
103,13.508,10.165,3.343,,11.53,10.205,1.325
105,13.218,10.439,2.779,,12.137,10.841,1.296
107,12.616,10.383,2.233,,12.022,10.404,1.618
