Sun Mar 15 16:19:44 2015
number_of_requests,total_time_test,req_per_sec_v2,speed,traffic_total,traffic_header,traffic_data,min_request,max_request,mean_request,sd_request,sd_percent_request,succeeded_requests,succeeded_failed
1,32.6080,30.20,113.83,3796,100,3648,7.0990,7.0990,7.0990,0.0000,100.00,1,0
3,34.3530,87.00,305.92,10801,292,10365,6.6900,7.2890,6.9960,0.2552,50.00,2,1
5,36.2200,137.50,495.71,18393,492,17661,6.7370,7.3500,7.0570,0.2178,60.00,3,2
7,37.4970,186.10,768.54,29507,740,28431,6.7460,7.3170,7.0330,0.1972,52.86,5,2
9,39.6900,226.30,927.41,37686,948,36306,6.6270,7.3530,7.0390,0.2259,66.67,6,3
11,40.9990,267.90,178.42,45865,1156,44181,6.6140,7.3850,7.0470,0.2354,62.73,7,4
13,43.0950,301.40,1.21,54631,1372,52635,6.6100,7.3880,7.0470,0.2288,66.92,9,4
15,44.9850,332.80,1.33,62810,1580,60510,6.5660,7.4900,7.0820,0.2524,68.00,10,5
17,46.9830,361.30,1.44,70989,1788,68385,6.5700,7.4800,7.0620,0.2564,67.65,11,6
19,49.5270,383.30,1.65,85625,2084,82629,6.6060,7.6320,7.1020,0.2706,68.95,14,5
21,50.9940,411.50,1.78,94978,2308,91662,6.6460,7.6800,7.1320,0.2652,69.52,15,6
23,53.1290,432.60,1.85,103157,2516,99537,6.6100,7.9680,7.1880,0.3210,71.74,16,6
25,54.9380,454.70,1.96,113097,2748,109149,6.6470,8.4830,7.2580,0.4367,72.40,18,7
27,57.6150,468.40,2.02,121863,2964,117603,6.6250,8.5400,7.3500,0.4576,69.26,20,8
29,60.0000,483.10,2.08,130629,3180,126057,6.6300,9.4710,7.3860,0.6337,76.90,21,8
31,62.0430,499.30,2.30,149374,3532,144354,6.7510,9.6270,7.4210,0.6392,79.03,24,7
33,65.1400,506.30,2.34,159901,3772,154545,6.6680,10.8770,7.5890,0.8933,80.31,26,7
35,66.2440,528.10,2.43,168667,3988,162999,6.6850,11.4380,7.6950,1.0420,84.29,27,8
37,68.6490,538.70,2.50,179781,4236,173769,6.6920,12.6940,7.8430,1.2379,85.95,29,8
39,71.0980,548.40,2.53,188547,4452,182223,6.6660,13.6260,7.9520,1.4088,86.15,30,9
41,73.1440,560.30,2.58,197900,4676,191256,6.6170,14.3510,8.0140,1.5688,86.34,32,9
43,76.0210,565.30,2.98,237777,5316,230397,6.8150,17.4650,8.4840,2.1980,87.91,38,4
45,79.0150,569.40,3.16,261805,5740,253905,6.9320,16.1400,8.5950,2.1531,86.44,42,2
47,80.3770,584.40,3.25,273506,5996,265254,6.8530,17.8980,8.5510,2.1505,88.09,44,3
49,82.9310,589.90,3.28,285207,6252,276603,6.8170,15.5800,8.4260,1.8920,84.69,46,3
51,84.8850,600.30,3.33,296908,6508,287952,6.8260,20.4470,9.1650,3.1180,88.04,48,3
53,88.5820,597.90,3.41,316827,6876,307407,6.9050,20.4490,9.1430,2.8764,86.98,52,2
55,90.6820,606.90,3.56,337920,7260,328020,7.0120,25.2580,9.5480,3.4670,87.27,55,0
57,94.1940,607.00,3.46,350208,7524,339948,6.8920,30.3570,10.0570,4.8110,88.07,57,0
59,92.6000,636.80,3.73,362496,7788,351876,6.8610,24.5890,9.3320,3.7480,88.48,59,0
61,96.3780,632.90,3.71,374784,8052,363804,6.9810,27.6300,9.7950,3.8990,88.03,61,0
63,98.3740,640.30,3.75,387072,8316,375732,6.9720,27.1720,9.8130,4.1160,87.46,63,0
65,100.5310,646.40,3.79,399360,8580,387660,6.9850,22.9100,9.9610,3.6750,84.62,65,0
67,102.5110,653.30,3.83,411648,8844,399588,6.9710,28.1430,10.1650,4.4280,84.62,67,0
69,104.4350,660.40,3.87,423936,9108,411516,7.0000,30.8740,10.2930,4.4160,87.83,69,0
71,106.6740,665.30,3.90,436224,9372,423444,6.9770,27.6460,10.0120,4.2260,85.07,71,0
73,109.0090,669.60,3.93,448512,9636,435372,7.0020,34.3070,11.2990,5.7080,84.79,73,0
75,111.3840,673.10,3.95,460800,9900,447300,6.9790,25.5040,10.2510,4.0790,85.47,75,0
77,114.9220,669.80,3.83,473088,10164,459228,6.9850,42.6380,11.0960,6.2480,87.40,77,0
79,114.7780,687.50,4.03,485376,10428,471156,6.9920,33.4940,11.4270,6.0260,85.19,79,0
81,118.1180,685.70,3.92,497664,10692,483084,6.9980,30.7110,10.3630,4.6860,86.42,81,0
83,121.3160,683.90,4.01,509952,10956,495012,6.9650,43.6490,11.2440,6.2150,89.88,83,0
85,122.9840,691.10,4.05,522240,11220,506940,6.9820,51.1970,11.4310,7.5880,89.88,85,0
87,123.6800,703.00,4.12,534528,11484,518868,6.9970,41.1980,11.5740,6.5750,88.16,87,0
89,127.4790,697.90,4.09,546816,11748,530796,6.8890,51.4670,11.8520,7.7430,89.44,89,0
91,129.2000,703.90,4.13,559104,12012,542724,6.9560,49.4800,12.0180,7.1740,89.12,91,0
93,131.2650,708.00,4.15,571392,12276,554652,6.9920,52.5800,12.2170,8.0970,88.60,93,0
95,134.1540,708.00,4.15,583680,12540,566580,7.0030,52.5590,12.4240,8.5380,86.42,95,0
97,134.9930,718.30,4.21,595968,12804,578508,6.9920,58.2300,12.7000,8.4700,87.63,97,0
99,138.5120,714.50,4.19,608256,13068,590436,7.0020,53.3780,12.2930,8.1120,88.59,99,0
101,140.6880,717.70,4.21,620544,13332,602364,6.9050,50.8930,12.3390,7.7510,87.82,101,0
103,142.1560,724.10,4.25,632832,13596,614292,6.9900,71.6560,13.5080,10.3930,90.39,103,0
105,145.5600,721.40,4.23,645120,13860,626220,7.0080,65.4070,13.2180,9.3740,89.62,105,0
107,145.8480,733.30,4.30,657408,14124,638148,6.9720,50.0120,12.6160,7.9050,87.85,107,0
109,149.2460,730.20,4.28,669696,14388,650076,7.0160,43.0020,12.3620,6.9350,85.23,109,0
111,150.7170,736.10,4.32,681984,14652,662004,6.9920,51.7080,12.3100,7.3340,87.21,111,0
113,154.4010,731.50,4.29,694272,14916,673932,6.9560,63.0190,13.0450,9.1560,89.12,113,0
115,155.0340,741.60,4.35,706560,15180,685860,6.9730,49.9580,12.6040,7.6870,85.65,115,0
