Sun Mar 15 15:05:07 2015
number_of_requests,total_time_test,req_per_sec_v2,speed,traffic_total,traffic_header,traffic_data,min_request,max_request,mean_request,sd_request,sd_percent_request,succeeded_requests,succeeded_failed
1,33.5230,29.40,71.47,2453,131,2274,8.0320,8.0320,8.0320,0.0000,100.00,1,0
3,349.0240,41.30,100.22,7359,393,6822,64.6730,322.0290,200.7860,119.3905,53.33,3,0
5,36.5270,136.50,327.99,12265,655,11370,6.9410,7.3490,7.1460,0.1554,56.00,5,0
7,38.5200,181.40,435.83,17171,917,15918,6.9490,7.5010,7.1750,0.1858,61.43,7,0
9,40.0290,224.40,538.76,22077,1179,20466,6.9200,7.4180,7.1760,0.1544,68.89,9,0
11,42.1530,261.50,627.70,26983,1441,25014,6.8780,7.3450,7.1130,0.1474,61.82,11,0
13,43.2690,300.00,719.93,31889,1703,29562,6.8980,7.4550,7.1470,0.1589,65.38,13,0
15,44.7850,334.50,802.42,36795,1965,34110,6.8910,7.4400,7.1480,0.1471,64.66,15,0
17,47.6390,356.50,855.08,41701,2227,38658,6.8880,7.6200,7.2030,0.1962,67.06,17,0
19,50.1750,378.20,907.32,46607,2489,43206,6.8970,7.5800,7.1660,0.1798,63.68,19,0
21,51.6060,406.40,974.92,51513,2751,47754,6.9170,7.6110,7.1970,0.1722,70.00,21,0
23,53.2400,431.50,203.63,56419,3013,52302,6.8880,7.7290,7.1940,0.2037,69.13,23,0
25,55.9080,446.90,1.05,61325,3275,56850,6.8780,8.0610,7.2340,0.2679,75.60,25,0
27,58.3310,462.70,1.08,66231,3537,61398,6.9290,8.4940,7.3410,0.3674,77.04,27,0
29,60.4850,478.90,1.12,71137,3799,65946,6.9340,9.1460,7.4110,0.4825,82.07,29,0
31,62.2910,497.20,1.16,76043,4061,70494,6.8140,10.3460,7.5450,0.7580,84.52,31,0
33,65.2370,505.70,1.18,80949,4323,75042,6.9140,10.4690,7.5950,0.8159,86.36,33,0
35,66.7020,524.20,1.23,85855,4585,79590,6.9070,12.2200,7.8280,1.1313,86.29,35,0
37,69.3260,533.60,1.25,90761,4847,84138,6.9090,12.6620,7.9250,1.2795,86.76,37,0
39,71.4340,545.80,1.28,95667,5109,88686,6.9550,12.7230,7.9650,1.1866,84.61,39,0
41,73.9200,554.50,1.30,100573,5371,93234,6.9100,15.7510,8.1560,1.8953,91.22,41,0
43,75.7090,567.80,1.33,105479,5633,97782,6.8940,15.8770,8.2210,1.9415,87.21,43,0
45,77.1150,583.10,1.37,110385,5895,102330,6.9010,15.6590,8.0310,1.7513,88.00,45,0
47,80.6990,581.90,1.36,115291,6157,106878,6.9270,16.6270,8.3680,2.0340,88.94,47,0
49,83.4910,586.70,1.37,120197,6419,111426,6.9060,18.3070,8.5840,2.3370,88.78,49,0
51,86.3840,590.10,1.38,125103,6681,115974,6.8990,24.0250,8.8940,3.4550,91.38,51,0
53,87.6830,604.20,1.41,130009,6943,120522,6.9150,18.5430,8.7460,2.4880,87.17,53,0
55,89.0640,617.10,1.45,134915,7205,125070,6.9140,23.9640,9.1870,3.3050,88.73,55,0
57,129.3070,572.80,30.39,139821,7467,129618,6.9080,61.5240,10.2450,8.7330,88.60,57,0
59,153.5810,574.70,21.74,144727,7729,134166,6.9080,81.9010,9.6000,10.3960,90.51,59,0
61,95.8460,636.00,1.49,149633,7991,138714,6.9120,25.5070,9.5140,3.8630,87.54,61,0
63,97.3820,645.90,1.51,154539,8253,143262,6.9200,27.0110,9.6460,4.2610,87.30,63,0
65,100.2530,648.20,1.52,159445,8515,147810,6.9070,25.0070,9.2220,3.4720,87.38,65,0
67,103.1190,649.40,1.52,164351,8777,152358,6.8310,29.4780,9.2750,4.1800,90.45,67,0
69,103.5150,666.20,1.56,169257,9039,156906,6.9200,32.1950,9.7780,4.5120,89.42,69,0
71,106.0380,669.40,1.57,174163,9301,161454,6.8980,36.7110,9.9840,5.1760,89.44,71,0
73,128.7400,627.90,57.94,179069,9563,166002,6.9380,51.1300,10.3750,6.7080,89.04,73,0
75,111.7100,671.20,1.57,183975,9825,170550,6.9140,33.2230,10.4900,5.5390,88.13,75,0
77,112.4240,684.60,1.60,188881,10087,175098,6.9040,35.2050,9.7140,4.9080,89.22,77,0
