Sat Mar 14 02:07:53 2015
number_of_requests,total_time_test,req_per_sec_v2,speed,traffic_total,traffic_header,traffic_data,min_request,max_request,mean_request,sd_request,sd_percent_request,succeeded_requests,succeeded_failed
1,78.8600,12.00,76.09,6144,132,5964,18.7410,18.7410,18.7410,0.0000,100.00,1,0
3,85.9590,34.30,209.40,18432,396,17892,18.4770,18.8920,18.6990,0.1790,53.33,3,0
5,93.2980,52.90,321.56,30720,660,29820,18.4520,18.8870,18.6490,0.1620,62.00,5,0
7,100.5080,69.10,417.89,43008,924,41748,18.3860,19.1820,18.7170,0.2548,70.00,7,0
9,108.5850,82.40,497.35,55296,1188,53676,18.4780,19.3310,18.8620,0.2563,68.89,9,0
11,115.6520,94.60,570.60,67584,1452,65604,18.4990,19.3630,18.8360,0.2342,71.82,11,0
13,122.9800,105.20,634.28,79872,1716,77532,18.4470,19.3530,18.8100,0.2536,66.92,13,0
15,129.9620,114.90,692.54,92160,1980,89460,18.3950,19.1970,18.7330,0.2161,66.67,15,0
17,137.5490,123.10,741.59,104448,2244,101388,18.3450,19.2420,18.7040,0.2489,66.47,17,0
19,145.8490,129.90,782.00,116736,2508,113316,18.3070,19.1670,18.6680,0.2480,61.05,19,0
21,153.4930,136.30,820.91,129024,2772,125244,18.3390,19.2050,18.6890,0.2196,66.19,21,0
23,163.1780,140.50,846.28,141312,3036,137172,18.3440,21.2200,19.3710,0.8610,69.13,23,0
25,173.2620,144.10,866.41,153600,3300,149100,18.3500,30.2830,23.4170,4.5666,55.20,25,0
27,178.6700,150.70,907.02,165888,3564,161028,18.3410,34.1390,24.1860,6.7602,67.04,27,0
29,186.0170,155.30,935.64,178176,3828,172956,18.3160,36.5460,23.8060,7.5878,78.62,29,0
31,195.4810,158.10,951.55,190464,4092,184884,18.2960,76.6560,31.5090,23.4490,78.39,31,0
33,203.3990,161.90,973.51,202752,4356,196812,18.3910,72.2800,29.0190,20.1690,81.82,33,0
35,212.4720,164.30,987.96,215040,4620,208740,18.3750,101.1280,29.2640,26.0010,86.00,35,0
37,221.5610,166.60,1002.01,227328,4884,220668,18.3750,126.1030,27.3920,24.8340,92.16,37,0
39,230.3150,168.90,1016.04,239616,5148,232596,18.4220,113.8640,25.2100,17.0870,90.00,39,0
41,240.2450,170.10,407.67,251904,5412,244524,18.3390,33.1120,23.9710,4.8510,55.61,41,0
43,249.9090,171.50,103.08,264192,5676,256452,18.3620,35.7660,25.6440,5.6350,54.19,43,0
45,259.6030,172.70,1.02,276480,5940,268380,18.4120,38.1730,27.2030,6.3090,55.11,45,0
47,266.8680,175.60,1.03,288768,6204,280308,18.3580,39.7420,28.2660,6.6290,56.17,47,0
49,277.2880,176.30,1.04,301056,6468,292236,18.4510,41.7760,29.3970,7.1050,58.16,49,0
51,286.4860,177.50,1.04,313344,6732,304164,18.5440,42.9250,30.7380,7.2830,58.43,51,0
53,296.8460,178.10,1.05,325632,6996,316092,18.9260,63.0310,32.5820,9.6810,61.70,53,0
55,307.4520,178.40,101.68,337920,7260,328020,18.9340,47.1110,32.7440,8.3480,57.27,55,0
57,313.1730,181.50,1.07,350208,7524,339948,19.0870,79.4490,39.1060,19.8930,63.51,57,0
59,321.4940,183.00,1.08,362496,7788,351876,18.9870,133.3890,46.0490,36.7860,72.03,59,0
61,331.8380,183.40,1.08,374784,8052,363804,19.9380,124.6270,43.1510,29.7130,71.80,61,0
63,340.1210,184.80,1.09,387072,8316,375732,20.2280,210.9550,47.0160,42.7200,86.82,63,0
65,352.9130,183.60,1.08,399360,8580,387660,20.8100,160.8390,44.0050,30.1220,77.23,65,0
67,361.5890,184.90,1.09,411648,8844,399588,22.8680,280.1080,45.1700,34.0320,98.06,67,0
69,372.5180,184.70,1.09,423936,9108,411516,23.5350,61.3930,42.7300,10.9240,59.85,69,0
71,380.2380,186.30,1.09,436224,9372,423444,23.5020,61.8870,42.8970,11.1060,58.73,71,0
73,391.2730,186.10,1.09,448512,9636,435372,24.1550,65.0170,45.1190,11.7290,57.39,73,0
75,399.9330,187.10,1.10,460800,9900,447300,24.0960,65.7920,45.4970,11.7860,58.00,75,0
77,409.5200,187.60,1.10,473088,10164,459228,24.0290,109.3950,55.4500,28.5400,62.99,77,0
79,419.3470,187.80,1.10,485376,10428,471156,25.0120,118.9140,53.0080,24.4170,64.18,79,0
81,429.8640,187.90,1.10,497664,10692,483084,25.3260,166.7190,63.7390,45.1870,68.52,81,0
83,438.4700,189.00,1.11,509952,10956,495012,25.3820,220.7610,70.7460,61.6230,74.10,83,0
85,447.8940,189.30,1.11,522240,11220,506940,26.0940,260.2390,69.2680,63.1120,79.88,85,0
87,457.3450,189.70,1.12,534528,11484,518868,27.3050,214.4260,64.5050,49.2130,74.02,87,0
