Fri Mar 13 17:20:59 2015
number_of_requests,total_time_test,req_per_sec_v2,speed,traffic_total,traffic_header,traffic_data,min_request,max_request,mean_request,sd_request,sd_percent_request,succeeded_requests,succeeded_failed
1,78.1850,12.10,76.11,6093,87,5964,18.3790,18.3790,18.3790,0.0000,100.00,1,0
3,80.6840,36.60,221.31,18279,261,17892,18.2100,18.6000,18.3950,0.1620,43.33,3,0
5,81.0060,61.10,367.27,30465,435,29820,18.1240,18.5310,18.3140,0.1535,58.00,5,0
7,82.9470,83.90,501.57,42651,609,41748,18.0720,18.5490,18.3160,0.1649,62.86,7,0
9,85.6120,104.70,625.65,54837,783,53676,18.1280,18.6280,18.3570,0.1633,60.00,9,0
11,86.5380,126.60,756.43,67023,957,65604,18.0770,18.5290,18.2670,0.1397,67.28,11,0
13,88.3990,146.50,875.10,79209,1131,77532,18.0390,18.6950,18.3420,0.1904,64.61,13,0
15,90.2740,165.80,988.74,91395,1305,89460,17.9420,18.6370,18.3270,0.1812,62.67,15,0
17,92.2200,183.80,1.07,103581,1479,101388,18.0550,18.7730,18.3470,0.1886,70.59,17,0
19,93.7790,202.20,1.18,115767,1653,113316,18.0660,18.6520,18.3240,0.1710,66.84,19,0
21,96.5180,217.10,1.26,127953,1827,125244,17.9290,18.6980,18.3230,0.1806,65.71,21,0
23,98.2600,233.80,1.36,140139,2001,137172,18.0600,18.8350,18.3580,0.2212,67.83,23,0
25,99.6150,250.40,1.46,152325,2175,149100,18.0390,19.1170,18.4100,0.3076,62.40,25,0
27,101.0260,266.70,1.56,164511,2349,161028,18.0390,19.1550,18.3580,0.2472,68.89,27,0
29,103.6080,279.30,1.63,176697,2523,172956,18.0000,18.6890,18.3090,0.1829,65.86,29,0
31,104.5880,295.80,1.72,188883,2697,184884,17.8920,18.6470,18.3090,0.1654,66.77,31,0
33,107.2260,307.40,1.79,201069,2871,196812,18.0120,18.7740,18.3240,0.1813,66.06,33,0
35,108.9620,320.80,1.87,213255,3045,208740,17.6010,18.7360,18.3200,0.1756,68.57,35,0
37,110.6410,333.90,1.94,225441,3219,220668,18.0030,18.7820,18.3300,0.1870,64.32,37,0
39,113.1810,344.10,1.70,237627,3393,232596,18.0210,18.7560,18.3210,0.1848,63.59,39,0
