Mon Mar 16 17:32:54 2015
timestamp,number_of_requests,total_time_test,req_per_sec_v2,speed,traffic_total,traffic_header,traffic_data,min_request,max_request,mean_request,sd_request,sd_percent_request,succeeded_requests,succeeded_failed
1426527174,1,8.8570,112.90,680.61,6144,132,5964,1.0388,1.0388,1.0388,0.0000,100.00,1,0
1426527178,3,342.9920,102.70,87.61,18432,396,17892,78.4077,332.6940,212.9198,118.6965,50.00,3,0
1426527178,5,17.4440,289.40,1.70,30720,660,29820,0.9310,3.3950,2.0190,0.9297,60.00,5,0
1426527179,7,21.2230,336.10,1.97,43008,924,41748,1.0214,5.4590,2.4220,1.4524,80.00,7,0
1426527179,9,25.1920,362.00,2.12,55296,1188,53676,1.0887,6.1420,2.9580,1.7456,73.34,9,0
1426527179,11,30.7070,361.10,2.12,67584,1452,65604,1.6877,6.2750,3.4980,1.3294,64.55,11,0
1426527180,13,36.7370,358.70,2.11,79872,1716,77532,1.7647,9.1900,4.6760,2.3500,64.62,13,0
1426527180,15,41.6560,362.90,2.13,92160,1980,89460,1.9405,11.4440,5.3110,2.8900,72.00,15,0
1426527181,17,44.7910,383.80,2.25,104448,2244,101388,1.7997,13.4170,5.6070,3.4560,69.41,17,0
1426527182,19,50.5280,377.90,2.22,116736,2508,113316,2.4178,14.9520,7.1480,3.5130,69.47,19,0
1426527182,21,55.3700,381.40,2.24,129024,2772,125244,1.4828,18.1350,6.9200,4.3290,70.47,21,0
1426527184,23,115.2350,337.00,89.60,141312,3036,137172,1.2081,73.4660,9.2130,15.2920,75.65,23,0
1426527185,25,137.1850,313.10,152.01,153600,3300,149100,1.8215,95.9800,11.3180,18.8750,85.60,25,0
1426527186,27,72.7340,372.20,2.18,165888,3564,161028,1.2797,22.3000,7.0120,5.0790,77.78,27,0
1426527187,29,72.8090,400.00,2.35,178176,3828,172956,2.1371,24.7020,9.3930,5.8740,73.45,29,0
1426527188,31,84.6170,370.00,2.17,190464,4092,184884,2.5227,30.0840,12.5340,7.0310,67.42,31,0
1426527189,33,88.0820,375.30,2.21,202752,4356,196812,2.1897,29.4980,13.3460,6.7920,66.06,33,0
1426527190,35,94.6970,369.80,2.17,215040,4620,208740,1.6332,34.7940,15.0650,8.4160,64.86,35,0
