Sat Mar 14 09:58:09 2015
timestamp,number_of_requests,total_time_test,req_per_sec_v2,speed,traffic_total,traffic_header,traffic_data,min_request,max_request,mean_request,sd_request,sd_percent_request,succeeded_requests,succeeded_failed
1426327089,1,13.1330,114.90,271.11,2403,87,2274,5.7437,5.7437,5.7437,0.0000,100.00,1,0
1426327089,3,11.4120,263.80,620.05,7209,261,6822,0.4469,0.9635,0.6319,0.2375,50.00,3,0
1426327090,5,13.9310,360.10,846.30,12015,435,11370,0.5407,1.7002,1.0476,0.4782,60.00,5,0
1426327090,7,17.3380,403.50,947.88,16821,609,15918,0.6718,3.0890,1.3499,0.8227,78.57,7,0
1426327090,9,21.1670,426.10,679.62,21627,783,20466,1.1576,6.6330,2.3240,1.6922,82.22,9,0
1426327091,11,25.0910,439.60,593.64,26433,957,25014,1.7622,3.7130,2.4080,0.5832,72.73,11,0
1426327091,13,28.4290,457.60,205.04,31239,1131,29562,1.9552,4.7990,2.8630,0.8456,73.08,13,0
1426327091,15,32.9300,455.60,202.16,36045,1305,34110,2.1200,7.0510,3.5510,1.1651,86.00,15,0
1426327092,17,34.9490,487.30,1.12,40851,1479,38658,1.9580,9.7800,4.1530,2.1978,81.77,17,0
1426327092,19,39.6600,479.40,1.10,45657,1653,43206,2.5390,11.6870,5.1190,2.5520,76.31,19,0
1426327093,21,41.4720,507.80,1.16,50463,1827,47754,2.3633,13.5720,5.1540,3.0910,82.38,21,0
1426327093,23,45.7160,501.80,1.15,55269,2001,52302,2.5850,15.8120,6.1570,3.6240,75.65,23,0
1426327094,25,49.3360,506.80,1.16,60075,2175,56850,2.7780,18.0170,7.0330,4.5370,76.00,25,0
1426327095,27,53.3190,507.00,1.16,64881,2349,61398,3.0570,19.6190,7.5430,4.6080,74.45,27,0
1426327095,29,56.0850,516.60,1.19,69687,2523,65946,3.5820,20.2120,8.0470,4.6980,75.17,29,0
1426327096,31,56.8390,546.60,1.25,74493,2697,70494,3.0100,20.5750,7.8090,5.0860,79.03,31,0
1426327097,33,61.1020,540.70,1.24,79299,2871,75042,3.1690,22.3300,8.5570,5.3400,72.12,33,0
1426327098,35,64.0670,546.60,1.25,84105,3045,79590,3.0600,21.0170,8.7670,4.9510,72.00,35,0
1426327098,37,67.2190,551.30,1.27,88911,3219,84138,3.0630,24.6610,9.6400,5.9390,75.95,37,0
1426327099,39,73.1290,533.20,1.22,93717,3393,88686,3.5200,25.8800,11.1010,6.5020,69.74,39,0
1426327100,41,75.5590,543.60,1.25,98523,3567,93234,4.0010,27.0480,11.2470,6.6000,73.66,41,0
1426327101,43,79.5280,540.90,1.24,103329,3741,97782,4.0640,27.0050,12.0460,6.4920,68.14,43,0
1426327102,45,83.4330,538.80,1.24,108135,3915,102330,4.0770,31.0400,12.4190,6.8320,72.67,45,0
1426327103,47,87.1740,539.60,1.24,112941,4089,106878,4.3000,30.5520,13.2190,7.6310,67.02,47,0
1426327104,49,88.6720,552.40,1.27,117747,4263,111426,3.9700,32.2170,12.7490,7.4170,68.98,49,0
1426327105,51,93.8980,543.10,1.25,122553,4437,115974,5.0610,33.2620,13.7850,7.4680,72.35,51,0
1426327106,53,97.8710,541.20,1.24,127359,4611,120522,5.2860,33.1630,14.8480,7.6300,69.43,53,0
1426327107,55,100.0940,549.00,1.26,132165,4785,125070,5.4000,33.7330,15.0210,8.1810,67.09,55,0
1426327109,57,102.5460,556.10,1.27,136971,4959,129618,5.3240,34.0040,15.8810,8.7000,62.81,57,0
1426327110,59,106.6810,552.90,1.27,141777,5133,134166,5.5050,39.3200,16.3220,9.0700,68.64,59,0
1426327111,61,106.9430,571.20,1.31,146583,5307,138714,5.3110,36.4480,15.9470,8.4780,69.01,61,0
1426327112,63,112.6130,559.70,1.28,151389,5481,143262,6.1300,39.0410,16.4540,8.9490,73.81,63,0
1426327114,65,115.4810,563.20,1.29,156195,5655,147810,5.6850,41.9220,17.7410,9.6300,71.23,65,0
1426327115,67,118.1870,566.90,1.30,161001,5829,152358,6.2000,43.4450,17.7090,9.4440,72.39,67,0
