Fri Mar 13 21:48:46 2015
number_of_requests,total_time_test,req_per_sec_v2,speed,traffic_total,traffic_header,traffic_data,min_request,max_request,mean_request,sd_request,sd_percent_request,succeeded_requests,succeeded_failed
1,78.3300,12.00,30.58,2453,131,2274,18.6660,18.6660,18.6660,0.0000,100.00,1,0
3,85.7220,34.50,83.84,7359,393,6822,18.3180,18.8710,18.6350,0.2430,53.33,3,0
5,92.6420,53.50,129.31,12265,655,11370,17.9170,18.8800,18.5070,0.3453,64.00,5,0
7,100.0110,69.40,167.83,17171,917,15918,17.3810,19.8860,18.7330,0.8596,71.43,7,0
9,106.8870,83.80,201.78,22077,1179,20466,17.3580,19.0730,18.5660,0.4969,71.11,9,0
11,115.3900,94.80,228.30,26983,1441,25014,18.1040,19.2960,18.7230,0.3285,66.36,11,0
13,121.4770,106.60,256.22,31889,1703,29562,17.3170,19.1790,18.5570,0.5060,76.15,13,0
15,128.5230,116.30,279.64,36795,1965,34110,17.3240,19.0930,18.5370,0.4689,74.00,15,0
17,135.9390,124.60,299.76,41701,2227,38658,17.3140,19.1680,18.5390,0.4599,78.82,17,0
19,144.6020,131.10,314.95,46607,2489,43206,17.0240,19.1070,18.5160,0.5263,79.47,19,0
21,150.9390,138.70,333.31,51513,2751,47754,17.0030,19.2290,18.6100,0.5277,77.14,21,0
23,158.0050,145.00,348.79,56419,3013,52302,16.3970,18.9290,18.4600,0.5307,90.00,23,0
25,165.0490,150.90,362.88,61325,3275,56850,16.7840,19.3070,18.5860,0.5066,88.40,25,0
27,173.0120,155.60,373.87,66231,3537,61398,17.8210,19.2510,18.6000,0.3019,71.48,27,0
29,183.8440,157.40,377.95,71137,3799,65946,17.7340,25.9570,20.4470,2.9200,82.76,29,0
31,193.1720,160.20,384.50,76043,4061,70494,17.7280,41.7520,24.1860,9.5290,80.32,31,0
33,200.6720,164.00,393.96,80949,4323,75042,17.5370,32.2830,21.2100,5.0440,80.00,33,0
35,210.1850,166.20,398.96,85855,4585,79590,18.2630,44.8960,23.4340,9.3910,80.86,35,0
37,218.3280,168.90,406.02,90761,4847,84138,17.0880,49.6710,23.2150,9.4070,78.65,37,0
39,228.2100,170.30,409.42,95667,5109,88686,17.5130,53.6950,23.2130,9.3780,80.26,39,0
41,237.3520,172.10,413.83,100573,5371,93234,17.3710,45.4560,23.0350,6.4660,79.03,41,0
43,246.7590,173.90,417.56,105479,5633,97782,17.0350,34.9520,23.7920,5.6000,70.00,43,0
45,254.0650,176.60,424.31,110385,5895,102330,17.5090,36.2410,24.4770,6.0320,67.11,45,0
47,265.3210,176.60,424.39,115291,6157,106878,17.7460,38.9740,26.0240,6.9680,52.98,47,0
49,274.5520,177.90,427.54,120197,6419,111426,17.7020,41.7370,27.3950,7.7810,51.02,49,0
51,284.4620,178.80,429.49,125103,6681,115974,17.4780,43.3470,28.5740,8.3240,51.57,51,0
53,293.4250,180.20,432.60,130009,6943,120522,16.6550,45.6180,29.8830,8.9910,54.91,53,0
55,301.7780,181.80,436.61,134915,7205,125070,17.2110,47.7020,31.2140,9.5130,55.09,55,0
57,311.4800,182.60,438.38,139821,7467,129618,17.7170,49.6770,32.2880,9.9590,55.09,57,0
59,321.0070,183.20,440.30,144727,7729,134166,17.4610,51.5520,33.2080,10.4790,56.27,59,0
61,328.4970,185.30,444.86,149633,7991,138714,17.7700,70.3890,35.5680,16.1100,60.00,61,0
63,335.8370,187.00,449.39,154539,8253,143262,17.4250,53.4500,34.1350,10.9740,58.73,63,0
65,345.1300,187.80,451.08,159445,8515,147810,17.8500,55.4390,35.4940,11.5470,57.54,65,0
67,353.9510,188.70,453.47,164351,8777,152358,18.1680,57.9950,37.3640,12.1200,56.57,67,0
69,362.4690,190.00,456.02,169257,9039,156906,18.3420,58.8970,37.9450,12.3720,57.54,69,0
71,373.4860,189.60,455.41,174163,9301,161454,18.6630,61.3360,39.7100,12.7310,57.33,71,0
73,382.1630,190.50,457.60,179069,9563,166002,18.7080,64.0120,41.3150,13.3800,57.53,73,0
75,389.9010,192.00,460.71,183975,9825,170550,18.5940,89.9710,41.9240,15.6810,61.87,75,0
77,399.2100,192.50,462.06,188881,10087,175098,18.8280,66.6850,42.9010,14.0430,57.66,77,0
79,408.7150,192.80,463.05,193787,10349,179646,19.5210,95.8850,44.6650,16.5620,62.53,79,0
81,419.5740,192.70,462.47,198693,10611,184194,20.1360,71.5060,46.1480,15.0280,57.65,81,0
83,432.0920,191.60,460.16,203599,10873,188742,21.5880,103.6630,49.2360,17.8710,60.60,83,0
85,443.1180,191.30,459.53,208505,11135,193290,21.6120,106.2840,50.6150,19.5720,60.59,85,0
87,451.3340,192.30,461.77,213411,11397,197838,22.1540,78.4830,50.8850,16.4340,57.13,87,0
