Fri Mar 13 17:51:47 2015
number_of_requests,total_time_test,req_per_sec_v2,speed,traffic_total,traffic_header,traffic_data,min_request,max_request,mean_request,sd_request,sd_percent_request,succeeded_requests,succeeded_failed
1,78.3010,12.00,30.60,2453,131,2274,18.5100,18.5100,18.5100,0.0000,100.00,1,0
3,85.0390,34.90,84.51,7359,393,6822,18.2410,18.5170,18.3720,0.1183,56.67,3,0
5,92.4810,53.70,129.52,12265,655,11370,18.2470,18.6330,18.4310,0.1455,60.00,5,0
7,100.0350,69.50,167.63,17171,917,15918,18.2480,18.9510,18.5380,0.2179,65.71,7,0
9,107.3990,83.40,200.76,22077,1179,20466,18.2810,19.0420,18.5550,0.2173,75.56,9,0
11,115.4380,94.80,228.11,26983,1441,25014,18.2200,19.1590,18.5840,0.2717,67.28,11,0
13,122.3730,105.80,254.49,31889,1703,29562,18.2060,18.9200,18.5050,0.1947,68.46,13,0
15,129.3390,115.50,277.83,36795,1965,34110,18.1930,18.9010,18.4870,0.1869,65.33,15,0
17,136.9030,123.60,297.47,41701,2227,38658,18.1840,18.8050,18.4770,0.1782,65.88,17,0
19,150.1740,127.00,305.41,46607,2489,43206,18.1870,25.3020,20.9860,3.0975,66.31,19,0
21,153.0240,136.70,328.76,51513,2751,47754,18.1800,23.8620,18.7330,1.2308,65.24,21,0
23,164.7010,139.30,334.96,56419,3013,52302,18.1440,19.5300,18.5870,0.3775,69.57,23,0
25,345.5560,132.10,317.33,61325,3275,56850,18.1420,201.4620,38.7650,51.3998,62.80,25,0
27,177.9160,151.40,363.69,66231,3537,61398,18.1510,25.8140,21.2330,3.1568,73.70,27,0
29,186.4120,155.10,372.76,71137,3799,65946,18.1490,43.6150,23.9770,8.7388,81.38,29,0
31,196.5190,157.30,377.92,76043,4061,70494,18.1640,53.1760,28.0820,14.8440,77.42,31,0
33,203.7590,161.50,387.98,80949,4323,75042,18.1740,62.6420,28.6750,17.8880,78.79,33,0
35,212.8330,164.00,393.95,85855,4585,79590,18.1700,53.7150,24.5960,12.4780,80.86,35,0
37,221.7630,166.30,399.68,90761,4847,84138,18.1730,88.8720,28.4450,22.8790,83.52,37,0
39,230.9620,168.50,404.57,95667,5109,88686,18.3720,53.4780,23.5090,9.2380,81.02,39,0
41,239.7340,170.50,409.52,100573,5371,93234,18.1840,32.5420,22.7470,4.8230,78.05,41,0
43,248.6870,172.40,414.21,105479,5633,97782,18.2110,34.3690,23.5630,5.4430,77.67,43,0
45,256.6840,174.80,419.97,110385,5895,102330,18.2020,36.0150,24.4010,6.0090,67.11,45,0
47,268.0280,175.10,420.07,115291,6157,106878,18.1820,38.5770,25.6290,6.9060,51.91,47,0
49,277.1740,176.40,423.58,120197,6419,111426,18.1740,49.6890,30.0590,11.8990,50.41,49,0
51,285.1950,178.20,428.25,125103,6681,115974,18.1460,53.1490,31.0950,13.0220,52.35,51,0
53,294.7980,179.20,430.69,130009,6943,120522,18.1740,44.5220,28.9290,8.7000,52.45,53,0
55,304.3590,180.20,432.89,134915,7205,125070,18.2520,87.7150,39.4140,26.1700,60.18,55,0
57,363.2940,170.20,408.68,139821,7467,129618,18.2320,142.0480,41.4080,34.8040,66.67,57,0
59,321.6610,183.10,439.41,144727,7729,134166,18.2070,117.1390,41.1720,32.0770,67.46,59,0
61,330.1900,184.20,442.56,149633,7991,138714,18.2290,123.4570,42.0480,32.5270,69.35,61,0
63,340.0410,184.70,443.72,154539,8253,143262,18.2190,189.6310,46.1520,45.8180,81.27,63,0
65,350.3680,185.10,444.42,159445,8515,147810,18.2900,159.1840,42.7780,34.2370,75.38,65,0
67,358.0310,186.60,448.30,164351,8777,152358,18.2350,233.1500,43.0300,39.0170,88.65,67,0
69,367.1320,187.30,450.23,169257,9039,156906,18.2850,198.0900,41.6400,29.1670,81.30,69,0
71,376.0520,188.20,452.29,174163,9301,161454,18.3950,61.6640,39.5850,13.0710,56.20,71,0
73,385.6610,188.70,453.35,179069,9563,166002,18.4810,63.6780,41.0280,13.4800,57.26,73,0
75,394.5350,189.60,455.40,183975,9825,170550,18.7140,65.2330,41.9740,13.8500,57.20,75,0
77,404.9410,189.70,455.54,188881,10087,175098,18.7010,128.7830,56.6870,38.8650,64.41,77,0
79,413.4940,190.60,457.68,193787,10349,179646,18.7840,161.1650,57.2040,41.7660,68.35,79,0
81,421.8110,191.40,460.01,198693,10611,184194,19.1250,161.2750,61.3890,48.6370,67.16,81,0
83,430.7540,192.20,461.58,203599,10873,188742,18.9370,217.1190,67.7320,64.5900,73.98,83,0
85,441.2030,192.20,461.51,208505,11135,193290,19.2040,280.2120,72.4720,78.7710,81.53,85,0
87,449.3160,193.20,463.85,213411,11397,197838,20.2220,212.7130,60.6140,49.5330,73.91,87,0
89,459.6870,193.10,463.80,218317,11659,202386,20.9610,191.4320,60.0430,46.0390,70.79,89,0
91,469.0380,193.40,464.77,223223,11921,206934,21.5790,229.0570,60.2700,48.4240,75.71,91,0
93,480.4770,192.80,463.68,228129,12183,211482,22.6850,270.2020,60.1570,47.1750,80.75,93,0
95,490.2370,193.30,464.22,233035,12445,216030,23.2220,248.3280,56.6710,30.5090,78.11,95,0
97,499.1660,193.80,465.51,237941,12707,220578,23.6810,86.0500,55.5300,18.0300,57.73,97,0
99,508.8290,194.00,466.10,242847,12969,225126,24.0240,88.7810,56.4870,18.6300,57.68,99,0
101,518.4560,194.30,466.67,247753,13231,229674,25.0960,90.0710,58.2820,18.8690,57.63,101,0
103,530.3980,193.70,465.11,252659,13493,234222,25.9960,93.0860,60.1960,19.3620,58.15,103,0
105,539.0530,194.10,466.62,257565,13755,238770,25.7620,125.1630,66.1570,30.7060,60.57,105,0
107,548.4260,194.60,467.40,262471,14017,243318,25.6790,160.4210,70.1060,40.4450,64.21,107,0
109,559.7040,194.10,466.44,267377,14279,247866,27.3140,132.5280,67.8730,31.1160,61.65,109,0
111,570.6740,194.10,465.99,272283,14541,252414,27.5800,170.3950,72.0580,40.5640,64.60,111,0
113,577.9970,195.10,468.36,277189,14803,256962,27.8340,248.1570,78.5340,58.4410,71.68,113,0
115,587.2020,195.40,469.16,282095,15065,261510,28.3310,331.3260,81.3900,70.8210,79.82,115,0
117,598.3920,195.00,468.39,287001,15327,266058,28.9760,301.7470,79.4770,61.5600,76.92,117,0
119,608.5870,195.10,468.44,291907,15589,270606,29.3140,473.9880,83.0570,80.5410,92.61,119,0
121,615.6300,196.00,470.85,296813,15851,275154,30.0740,318.5990,75.3690,46.1460,78.59,121,0
123,627.7210,195.50,469.41,301719,16113,279702,31.1020,414.0630,75.7670,42.2370,87.16,123,0
125,635.5440,196.30,471.09,306625,16375,284250,31.0050,124.0410,73.1520,23.7770,59.28,125,0
127,644.4660,196.50,472.08,311531,16637,288798,31.7540,115.1720,74.1940,23.7170,59.37,127,0
129,654.6640,196.60,471.93,316437,16899,293346,32.3270,116.7020,75.4080,24.1150,59.23,129,0
131,664.5080,196.70,472.28,321343,17161,297894,32.8880,158.4070,83.3070,37.7210,61.30,131,0
133,673.6790,197.10,472.96,326249,17423,302442,33.0230,161.3660,83.4580,37.7410,61.28,133,0
135,685.4490,196.40,471.81,331155,17685,306990,25.8470,170.8230,89.2950,39.5100,64.37,135,0
137,694.4150,196.80,472.61,336061,17947,311538,27.1200,263.7160,99.6310,63.7180,71.24,137,0
139,702.9020,197.30,473.72,340967,18209,316086,30.7600,405.7150,103.7110,85.5750,79.28,139,0
