Sun Mar 15 15:42:51 2015
number_of_requests,total_time_test,req_per_sec_v2,speed,traffic_total,traffic_header,traffic_data,min_request,max_request,mean_request,sd_request,sd_percent_request,succeeded_requests,succeeded_failed
1,32.7160,30.00,59.92,2017,115,1854,7.1040,7.1040,7.1040,0.0000,100.00,1,0
3,34.1850,87.40,172.24,6052,346,5562,6.9350,7.1760,7.0590,0.1045,56.67,2,1
5,35.8810,138.80,262.97,9650,560,8850,6.7990,7.2480,7.0360,0.1621,56.00,4,1
7,37.5780,185.80,355.59,13685,791,12558,6.7940,7.3240,7.0790,0.1720,65.71,5,2
9,39.5960,226.80,436.94,17719,1021,16266,6.7610,7.3110,7.0220,0.1793,58.89,7,2
11,40.8090,269.30,515.45,21536,1244,19764,6.6730,7.3560,6.9520,0.2016,68.18,8,2
13,43.0800,301.40,515.61,22737,1371,20742,6.6230,7.3240,6.9220,0.2098,69.23,9,4
15,44.7250,334.80,565.60,25900,1570,23610,6.6150,7.3520,7.0150,0.2014,64.67,10,5
17,46.8570,362.40,605.75,29063,1769,26478,6.5720,7.5070,7.0340,0.2486,67.65,11,6
19,49.5740,382.70,652.33,33097,1999,30186,6.6010,7.5450,6.8350,0.2422,65.79,13,6
21,50.7670,413.40,714.83,37132,2230,33894,6.6040,7.5090,7.0600,0.2379,67.14,14,7
23,53.2920,431.30,778.75,42473,2507,38862,6.5720,7.9830,7.1540,0.3375,68.26,17,6
25,55.3100,451.70,913.44,51737,2927,47610,6.7070,8.5960,7.2610,0.3994,75.60,21,4
27,58.6300,460.40,940.85,56426,3182,51948,6.7040,9.1210,7.3500,0.5428,78.89,22,4
29,59.7900,484.60,782.72,60460,3412,55656,6.6890,9.4940,7.3220,0.5734,81.38,24,5
31,62.9430,492.10,801.62,64930,3658,59784,6.6970,9.5870,7.4660,0.6652,80.00,26,5
33,64.6070,510.50,201.73,68964,3888,63492,6.6770,11.1290,7.5840,0.9756,82.12,28,6
35,66.1600,528.50,1.05,72999,4119,67200,6.6480,12.3970,7.7720,1.2551,86.29,29,6
37,70.1290,529.60,90.33,77469,4365,71328,6.7740,13.8620,8.3520,1.9123,85.68,31,6
39,73.3740,532.20,99.95,81504,4596,75036,6.6720,15.3540,8.3440,1.8840,84.87,32,6
41,73.0950,560.70,1.11,85538,4826,78744,6.6850,14.6000,8.0840,1.7126,83.90,34,7
43,75.9360,566.40,1.13,90008,5072,82872,6.6440,15.5770,8.1630,1.9200,85.35,36,7
45,77.3640,581.40,1.16,94478,5318,87000,6.7190,14.2850,8.1460,1.6772,86.44,38,7
47,80.1550,586.30,1.23,103742,5738,95748,6.6490,16.6350,8.3840,2.1578,84.89,42,5
49,83.1330,589.70,1.25,108430,5992,100086,6.7380,18.7900,8.7430,2.7860,87.55,44,5
51,85.4530,597.20,1.31,117041,6389,108204,6.7790,19.8170,9.0030,2.9895,87.06,47,4
53,87.2270,606.60,1.35,123690,6714,114432,6.8040,20.6620,8.7820,2.6910,87.36,50,3
55,90.3200,608.80,1.35,128160,6960,118560,6.8590,22.6700,9.1760,3.2920,87.27,52,3
57,91.2790,624.00,1.39,133066,7222,123108,6.7750,20.2340,8.9630,2.9950,84.38,54,3
59,92.7730,635.80,1.42,137536,7468,127236,6.7630,24.9340,9.1040,3.5270,88.14,56,3
61,95.2140,640.30,1.43,142224,7722,131574,6.7980,21.6830,9.2250,3.2230,86.72,58,3
63,97.6700,644.80,1.44,146912,7976,135912,6.6860,24.5860,9.4410,3.6940,89.21,60,4
65,100.4260,647.40,1.44,151601,8231,140250,6.7630,24.4080,9.5890,3.9420,86.77,61,4
67,102.8850,651.00,1.45,156289,8485,144588,6.7410,29.2090,9.9170,4.4670,86.57,63,4
69,104.0370,662.80,1.47,160759,8731,148716,6.7120,32.0150,10.0540,4.4280,86.96,65,4
71,108.0110,657.10,1.46,165665,8993,153264,6.8790,30.2670,10.4660,4.9720,87.04,67,4
