Sat Mar 14 13:59:45 2015
timestamp,number_of_requests,total_time_test,req_per_sec_v2,speed,traffic_total,traffic_header,traffic_data,min_request,max_request,mean_request,sd_request,sd_percent_request,succeeded_requests,succeeded_failed
1426341585,1,8.7740,113.40,684.55,6144,132,5964,1.0076,1.0076,1.0076,0.0000,100.00,1,0
1426341585,3,11.1680,268.70,1.58,18432,396,17892,0.8285,1.4092,1.0483,0.2636,50.00,3,0
1426341585,5,14.2580,350.70,2.06,30720,660,29820,0.9320,2.4120,1.5020,0.6239,70.00,5,0
1426341586,7,18.3140,382.50,2.24,43008,924,41748,1.1164,4.3330,1.9250,1.0698,78.57,7,0
1426341586,9,22.6220,398.20,2.33,55296,1188,53676,1.7850,4.1140,2.4850,0.6651,82.22,9,0
1426341586,11,26.0960,421.40,2.47,67584,1452,65604,1.9960,4.7620,2.8820,0.7633,77.27,11,0
1426341587,13,29.3220,443.20,2.60,79872,1716,77532,1.8780,6.6350,3.7350,1.3804,74.62,13,0
1426341587,15,33.0110,454.20,2.67,92160,1980,89460,2.5119,6.7000,4.0880,1.2102,71.33,15,0
1426341588,17,35.9610,473.30,2.77,104448,2244,101388,2.8050,8.3850,4.7130,1.4939,77.06,17,0
1426341588,19,39.6630,479.10,2.81,116736,2508,113316,3.1610,11.7690,5.5850,2.6110,77.37,19,0
1426341589,21,43.4220,483.90,2.84,129024,2772,125244,2.9739,14.2450,5.9880,3.0220,75.71,21,0
1426341589,23,45.7550,501.50,2.84,141312,3036,137172,2.9480,14.4630,6.6880,3.3900,73.48,23,0
1426341590,25,51.6380,483.50,2.83,153600,3300,149100,3.8510,19.8250,8.2650,4.4790,77.60,25,0
1426341591,27,56.0110,481.90,2.83,165888,3564,161028,4.0140,17.8650,8.9830,4.2400,65.92,27,0
1426341591,29,59.3820,488.10,2.86,178176,3828,172956,4.5540,19.8190,9.5090,4.8060,66.21,29,0
1426341592,31,62.7600,494.00,2.90,190464,4092,184884,4.2320,22.4830,10.0120,4.9960,72.58,31,0
1426341593,33,64.2750,514.30,3.02,202752,4356,196812,3.8010,22.0270,9.9430,5.0960,72.43,33,0
1426341594,35,70.0440,499.50,2.93,215040,4620,208740,5.2920,26.8190,11.1540,5.8590,78.57,35,0
1426341595,37,75.2490,491.40,2.88,227328,4884,220668,5.4390,27.5690,12.2590,6.1410,75.68,37,0
1426341596,39,77.8520,500.80,2.84,239616,5148,232596,5.4800,29.6640,12.5440,6.2630,70.51,39,0
1426341597,41,82.9080,494.40,2.90,251904,5412,244524,5.7150,30.8100,13.4430,6.7180,70.49,41,0
1426341597,43,85.2700,504.20,2.96,264192,5676,256452,6.5330,32.3350,14.1240,7.0950,73.49,43,0
1426341599,45,88.5690,507.80,2.88,276480,5940,268380,6.0870,35.7180,14.0340,6.6690,78.00,45,0
1426341600,47,92.6960,506.60,2.97,288768,6204,280308,6.5990,34.6430,15.1230,7.7260,73.83,47,0
1426341601,49,93.8610,523.10,2.97,301056,6468,292236,6.1270,35.2370,15.5380,7.4590,71.63,49,0
1426341602,51,98.4540,517.80,3.04,313344,6732,304164,5.8830,36.2470,15.7840,7.8460,72.55,51,0
1426341603,53,102.8240,515.10,3.02,325632,6996,316092,6.7740,37.8570,16.9030,8.2880,72.08,53,0
1426341604,55,107.5610,511.10,2.90,337920,7260,328020,7.9820,43.1210,17.4960,8.4510,72.36,55,0
1426341605,57,108.3450,527.30,2.99,350208,7524,339948,7.2740,42.6690,17.5860,8.7320,69.82,57,0
1426341607,59,113.9660,518.00,2.94,362496,7788,351876,7.2840,49.6740,19.0050,9.8190,74.58,59,0
1426341608,61,117.0050,521.00,3.06,374784,8052,363804,7.0210,59.8800,19.5410,10.2520,76.89,61,0
1426341609,63,120.3490,523.10,2.97,387072,8316,375732,7.7790,49.8530,19.3760,9.4560,75.88,63,0
1426341612,65,212.5000,487.20,40.69,399360,8580,387660,7.4560,51.5750,19.6380,10.4760,69.23,65,0
