Sat Mar 14 11:30:03 2015,,,,,,,,,,,,,,
timestamp,number_of_requests,total_time_test,req_per_sec_v2,speed,traffic_total,traffic_header,traffic_data,min_request,max_request,mean_request,sd_request,sd_percent_request,succeeded_requests,succeeded_failed
1426332603,1,8.061,123.6,738.29,6093,87,5964,0.7021,0.7021,0.7021,0,100,1,0
1426332604,3,10.842,275,1.6,18279,261,17892,0.6072,0.7872,0.6901,0.0744,46.67,3,0
1426332604,5,13.341,375.1,2.18,30465,435,29820,0.5872,1.6284,0.9462,0.4207,54,5,0
1426332604,7,17.541,400,2.33,42651,609,41748,0.9178,3.76,1.495,0.9531,78.57,7,0
1426332604,9,22.011,409.6,2.38,54837,783,53676,1.6582,5.421,2.405,1.1743,81.11,9,0
1426332605,11,24.806,444,2.58,67023,957,65604,1.5355,3.834,2.362,0.6863,75.46,11,0
1426332605,13,28.372,458.3,2.67,79209,1131,77532,2.115,3.804,2.655,0.4563,75.39,13,0
1426332606,15,32.896,455.7,2.65,91395,1305,89460,2.3235,8.249,3.881,1.6356,81.33,15,0
1426332606,17,36.907,461.7,2.69,103581,1479,101388,2.793,11.014,5.036,2.549,75.3,17,0
1426332607,19,40.614,468,2.72,115767,1653,113316,2.966,12.754,5.451,2.622,85.79,19,0
1426332607,21,44.455,473.4,2.75,127953,1827,125244,3.299,14.259,6.002,3.107,80.48,21,0
1426332608,23,48.141,478.4,2.78,140139,2001,137172,3.331,17.281,6.919,4.043,76.96,23,0
1426332608,25,49.114,509.7,2.96,152325,2175,149100,2.797,16.747,7.172,4.156,76,25,0
1426332609,27,55.284,488.7,2.84,164511,2349,161028,3.728,19.529,8.293,4.829,80.74,27,0
1426332610,29,55.349,523.9,3.05,176697,2523,172956,3.268,18.141,8.018,4.614,73.1,29,0
1426332611,31,59.622,520.2,3.03,188883,2697,184884,3.759,20.574,9.018,5.034,74.19,31,0
1426332612,33,83.627,515.6,67.16,201069,2871,196812,3.103,43.764,8.804,8.54,75.76,33,0
1426332612,35,64.209,544.6,3.17,213255,3045,208740,3.681,23.352,9.413,5.308,74.57,35,0
1426332613,37,68.969,536.2,3.12,225441,3219,220668,4.327,24.283,10.519,5.971,72.43,37,0
1426332614,39,71.44,545.8,3.08,237627,3393,232596,4.171,26.303,10.793,6.214,71.79,39,0
1426332615,41,75.735,542.2,3.15,249813,3567,244524,4.679,25.883,11.388,6.1,71.46,41,0
1426332616,43,77.671,553.3,3.22,261999,3741,256452,4.281,26.537,12.025,6.343,69.07,43,0
1426332617,45,78.688,573,3.33,274185,3915,268380,4.422,25.606,11.376,6.226,71.11,45,0
1426332618,47,85.456,550,3.2,286371,4089,280308,4.498,30.296,13.028,7.379,68.72,47,0
1426332620,49,181.333,498.9,31.81,298557,4263,292236,4.6033,31.496,13.368,7.191,72.25,49,0
1426332622,51,183.418,505.8,32.87,310743,4437,304164,5.4509,32.04,13.724,7.163,74.31,51,0
1426332623,53,97,546.5,3.18,322929,4611,316092,5.681,33.278,14.892,8.02,67.36,53,0
1426332624,55,97.475,563.9,3.28,335115,4785,328020,5.422,32.994,14.459,7.612,68.55,55,0
1426332626,57,192.909,513.2,36.32,347301,4959,339948,5.1974,36.483,15.278,8.14,72.98,57,0
1426332627,59,104.804,562.7,3.27,359487,5133,351876,6.079,37.772,15.978,8.847,77.12,59,0
1426332628,61,109.717,555.9,3.23,371673,5307,363804,6.644,39.2,16.669,9,74.92,61,0
1426332630,63,205.705,493.3,39.85,383859,5481,375732,6.6185,39.833,18.093,9.245,68.57,63,0
1426332632,65,119.466,543.8,3.16,396045,5655,387660,7.094,41.456,19.266,9.792,68.62,65,0
1426332633,67,121.374,551.8,3.21,408231,5829,399588,7.586,41.524,18.781,9.347,71.94,67,0
1426332635,69,128.149,538.3,3.13,420417,6003,411516,8.175,44.144,20.144,9.558,72.17,69,0
1426332636,71,130.563,543.5,3.16,432603,6177,423444,8.26,46.444,20.204,9.77,72.68,71,0
1426332638,73,133.62,546.1,3.18,444789,6351,435372,7.703,46.184,20.906,10.169,72.19,73,0
1426332639,75,136.033,551.1,3.21,456975,6525,447300,7.93,45.818,21.405,10.481,71.2,75,0
1426332641,77,142.022,541.7,3.15,469161,6699,459228,8.811,50.557,22.826,11.625,72.6,77,0
1426332642,79,145.583,542.7,3.15,481347,6873,471156,9.074,51.453,23.136,11.02,68.1,79,0
1426332644,81,147.28,549.6,3.2,493533,7047,483084,8.732,51.923,24.2,11.815,66.91,81,0
1426332645,83,152.185,545.3,3.17,505719,7221,495012,8.778,53.531,24.211,11.683,72.77,83,0
1426332647,85,155.417,546.5,3.18,517905,7395,506940,9.503,52.548,24.365,11.29,71.53,85,0
1426332649,87,158.046,550.2,3.2,530091,7569,518868,8.703,61.353,25.334,12.443,73.91,87,0
1426332652,89,334.724,456.5,105.86,542277,7743,530796,7.6554,52.273,23.883,11.705,66.51,89,0
1426332659,91,610.294,326,257.48,554463,7917,542724,4.8218,43.196,19.261,9.437,67.03,91,0
1426332662,93,343.721,466,107.69,566649,8091,554652,7.692,56.806,23.482,11.979,70.43,93,0
1426332666,95,346.778,468.9,108.9,578835,8265,566580,7.671,51.965,23.034,11.191,72.84,95,0
1426332668,97,171.007,566.9,3.3,591021,8439,578508,9.191,60.622,27.101,13.343,71.65,97,0
1426332669,99,174.396,567.2,3.3,603207,8613,590436,7.501,57.942,27.29,12.665,70.1,99,0
1426332671,101,185.543,543.9,3.16,615393,8787,602364,10.455,64.295,29.547,13.432,70.4,101,0
1426332673,103,188.876,545.3,3.17,627579,8961,614292,11.247,64.964,30.019,13.909,72.14,103,0
1426332676,105,190.041,552.3,3.21,639765,9135,626220,10.63,69.409,30.151,14.224,70.86,105,0
1426332678,107,195.182,548,3.19,651951,9309,638148,12.357,69.318,31.118,14.671,71.97,107,0
1426332680,109,200.72,543,3.16,664137,9483,650076,12.128,80.489,31.141,14.521,73.12,109,0
1426332682,111,201.271,551.9,3.21,676323,9657,662004,11.583,70.187,31.826,14.733,68.74,111,0
1426332684,113,207.164,544.8,3.17,688509,9831,673932,12.495,78.751,32.751,15.432,71.51,113,0
1426332686,115,209.231,550,3.2,700695,10005,685860,11.642,76.874,33.374,16.334,70.61,115,0
1426332689,117,216.827,539.7,3.14,712881,10179,697788,13.952,83.938,34.938,15.442,72.56,117,0
