Sat Mar 14 13:09:05 2015
timestamp,number_of_requests,total_time_test,req_per_sec_v2,speed,traffic_total,traffic_header,traffic_data,min_request,max_request,mean_request,sd_request,sd_percent_request,succeeded_requests,succeeded_failed
1426338546,1,8.5200,117.00,281.57,2453,131,2274,0.8697,0.8697,0.8697,0.0000,100.00,1,0
1426338546,3,11.1170,270.00,648.21,7359,393,6822,0.7609,1.3536,0.9789,0.2691,60.00,3,0
1426338546,5,13.8440,361.60,867.52,12265,655,11370,0.7864,2.6760,1.3933,0.7660,64.00,5,0
1426338546,7,17.8340,392.10,940.66,17171,917,15918,0.8244,5.0540,1.6873,1.4330,80.00,7,0
1426338547,9,21.4260,419.80,596.49,22077,1179,20466,1.0313,5.3430,2.0220,1.2849,82.22,9,0
1426338547,11,24.7670,444.40,102.71,26983,1441,25014,1.6891,5.9260,2.6540,1.2574,87.27,11,0
1426338547,13,28.6590,453.30,1.06,31889,1703,29562,2.1940,5.2890,3.0790,0.8567,78.46,13,0
1426338548,15,32.2860,463.90,1.09,36795,1965,34110,2.2360,7.2780,3.8230,1.4563,78.67,15,0
1426338548,17,35.4330,479.40,1.12,41701,2227,38658,2.3060,9.4340,4.3710,2.1290,71.18,17,0
1426338549,19,38.8530,488.60,1.14,46607,2489,43206,2.8100,11.3210,5.0680,2.6560,76.84,19,0
1426338549,21,42.1550,498.00,1.17,51513,2751,47754,2.6480,13.5580,5.4380,2.8350,80.95,21,0
1426338550,23,46.2660,497.00,1.16,56419,3013,52302,2.6980,14.7850,6.5030,3.3760,70.87,23,0
1426338551,25,50.6320,493.20,1.16,61325,3275,56850,2.7820,19.0180,7.6810,4.6620,72.80,25,0
1426338551,27,53.9220,500.60,1.17,66231,3537,61398,3.1820,19.3980,8.2140,4.7210,72.59,27,0
1426338552,29,56.7900,510.20,1.19,71137,3799,65946,3.4150,20.2040,8.5640,4.6900,71.38,29,0
1426338553,31,61.7190,502.00,1.18,76043,4061,70494,3.8630,21.9830,9.2980,5.4600,72.90,31,0
1426338553,33,62.6150,526.60,1.23,80949,4323,75042,3.8780,23.5620,9.3840,5.5500,74.25,33,0
1426338554,35,67.2850,519.20,1.21,85855,4585,79590,3.8970,25.0940,10.2860,5.9860,70.29,35,0
1426338555,37,71.2330,519.40,1.22,90761,4847,84138,3.7630,29.2160,11.0570,6.5890,75.67,37,0
1426338556,39,73.4950,530.40,1.24,95667,5109,88686,4.0770,28.1650,11.3760,6.5580,71.79,39,0
1426338557,41,76.8970,532.90,1.25,100573,5371,93234,4.2260,26.9790,11.6010,6.5870,69.51,41,0
1426338558,43,80.5370,533.60,1.25,105479,5633,97782,4.5900,29.3630,12.4830,6.8850,72.79,43,0
1426338559,45,84.6740,531.10,1.24,110385,5895,102330,4.5360,34.3630,12.8740,7.3910,73.78,45,0
1426338560,47,87.8640,535.60,1.25,115291,6157,106878,4.8340,32.8390,13.5250,7.5900,72.13,47,0
1426338561,49,92.2820,530.60,1.24,120197,6419,111426,5.0600,36.6510,14.4350,7.9700,71.63,49,0
1426338562,51,95.8590,531.90,1.25,125103,6681,115974,5.3710,34.0980,14.7430,8.0500,72.16,51,0
1426338563,53,98.2820,539.10,1.26,130009,6943,120522,5.6480,40.8130,15.3180,8.7860,75.28,53,0
1426338564,55,102.4260,537.00,1.26,134915,7205,125070,6.3390,41.2220,15.8450,8.6820,70.18,55,0
1426338565,57,105.5640,539.70,1.26,139821,7467,129618,6.4800,42.5730,16.3300,9.2520,74.04,57,0
1426338567,59,109.7430,537.40,1.26,144727,7729,134166,6.0840,42.6740,16.9670,8.6030,71.53,59,0
1426338568,61,113.6370,536.30,1.25,149633,7991,138714,5.8790,48.4960,17.9530,9.7710,72.95,61,0
1426338569,63,116.6740,540.20,1.26,154539,8253,143262,7.0890,48.3400,18.4950,10.7910,79.52,63,0
1426338571,65,208.7310,508.70,16.19,159445,8515,147810,5.5200,43.7600,17.2360,9.4150,73.69,65,0
1426338575,67,389.9450,414.90,47.90,164351,8777,152358,4.1813,44.9650,17.2700,9.9510,69.85,67,0
1426338577,69,121.7250,566.40,1.33,169257,9039,156906,6.1360,51.2310,18.8760,10.1460,73.77,69,0
1426338581,71,391.0710,420.10,51.30,174163,9301,161454,3.9218,45.8250,18.9630,10.6150,67.04,71,0
1426338584,73,306.8930,473.00,35.23,179069,9563,166002,5.2508,43.2230,19.0440,9.8930,64.79,73,0
1426338588,75,399.9140,421.50,53.48,183975,9825,170550,5.4634,56.1740,18.9870,11.2030,73.87,75,0
1426338590,77,150.3950,537.30,66.81,188881,10087,175098,5.8090,68.1270,22.0340,13.1500,77.40,77,0
1426338591,79,142.4630,554.70,1.30,193787,10349,179646,8.2930,66.4200,22.9400,13.1240,75.57,79,0
1426338593,81,146.3690,553.30,1.30,198693,10611,184194,8.4980,64.3550,23.4320,12.5410,71.23,81,0
1426338595,83,149.7990,554.00,1.30,203599,10873,188742,7.7720,65.5620,24.5730,13.3780,68.07,83,0
1426338596,85,155.1120,547.60,1.28,208505,11135,193290,7.9670,78.7310,25.3700,14.3530,75.18,85,0
1426338598,87,157.8090,551.30,1.29,213411,11397,197838,8.8730,69.9410,25.2460,13.9320,75.40,87,0
1426338600,89,163.7390,543.30,1.27,218317,11659,202386,9.4540,77.3060,27.7290,16.0090,75.28,89,0
1426338602,91,164.9230,551.80,1.29,223223,11921,206934,8.2960,73.0310,26.6280,14.1200,72.86,91,0
1426338603,93,171.2150,542.90,1.27,228129,12183,211482,10.0370,74.4300,28.5820,15.1410,70.54,93,0
1426338605,95,172.9020,549.10,1.28,233035,12445,216030,9.3900,74.4670,28.6710,15.0780,69.58,95,0
1426338607,97,178.1620,544.30,1.27,237941,12707,220578,9.5590,88.7520,29.6740,16.2550,71.96,97,0
1426338609,99,183.2110,540.00,1.26,242847,12969,225126,10.5270,88.4800,29.1770,16.1140,75.46,99,0
1426338611,101,177.9800,567.20,1.33,247753,13231,229674,8.5750,73.1000,28.4610,14.3000,69.11,101,0
1426338613,103,180.6930,570.00,1.33,252659,13493,234222,9.2290,84.5880,29.6760,16.4450,73.20,103,0
1426338615,105,184.8300,567.50,1.33,257565,13755,238770,9.9200,84.1480,31.2660,16.5240,67.71,105,0
1426338618,107,274.1990,521.70,25.66,262471,14017,243318,8.6160,97.8180,29.7550,17.0200,74.49,107,0
1426338621,109,273.5760,525.10,26.93,267377,14279,247866,9.5036,97.6910,30.9110,17.1870,72.66,109,0
1426338624,111,318.6480,490.30,72.92,272283,14541,252414,8.9710,131.0170,29.2360,20.4160,79.37,111,0
1426338626,113,197.1220,572.80,1.34,277189,14803,256962,9.6200,96.6640,32.7800,17.5610,75.75,113,0
1426338628,115,204.0590,563.00,1.32,282095,15065,261510,10.5820,101.9450,34.2700,18.2990,73.22,115,0
1426338631,117,209.7400,557.90,1.31,287001,15327,266058,11.7890,96.7120,34.5220,17.8420,70.43,117,0
1426338633,119,217.0090,548.20,1.28,291907,15589,270606,12.4520,94.9590,35.6890,19.0900,72.52,119,0
1426338635,121,220.8280,547.80,1.28,296813,15851,275154,10.4630,93.2580,36.4170,18.4050,70.16,121,0
1426338638,123,220.8650,557.10,1.30,301719,16113,279702,11.7600,95.1240,35.7470,18.7980,69.51,123,0
1426338640,125,229.7950,543.80,1.27,306625,16375,284250,13.2020,111.3290,37.9160,19.2280,73.12,125,0
1426338642,127,227.6710,557.30,1.31,311531,16637,288798,12.1490,120.5900,37.9950,20.4150,72.99,127,0
1426338645,129,228.5200,564.90,1.32,316437,16899,293346,12.4400,121.8780,36.5980,20.7020,77.83,129,0
