Mon Mar 16 10:59:18 2015
number_of_requests,total_time_test,req_per_sec_v2,speed,traffic_total,traffic_header,traffic_data,min_request,max_request,mean_request,sd_request,sd_percent_request,succeeded_requests,succeeded_failed
1,636.8880,1.00,9.43,6144,132,5964,158.1870,158.1870,158.1870,0.0000,100.00,1,0
3,654.9840,4.00,27.50,18432,396,17892,150.2180,164.2710,156.7540,6.0980,63.34,3,0
5,650.9560,7.20,46.12,30720,660,29820,150.4110,161.8450,156.4950,4.4630,52.00,5,0
7,663.6050,10.00,63.28,43008,924,41748,149.7390,164.7860,157.5290,6.2400,48.57,7,0
9,663.4130,13.00,81.38,55296,1188,53676,149.6700,164.7210,157.7800,5.7210,60.00,9,0
11,663.0080,16.00,99.55,67584,1452,65604,149.1960,164.6660,156.2730,5.6630,56.37,11,0
13,665.2150,19.00,117.25,79872,1716,77532,149.3800,164.8280,157.4720,5.7010,63.85,13,0
15,664.4920,22.00,135.44,92160,1980,89460,148.9280,164.7820,157.1420,5.8410,53.33,15,0
17,633.8610,26.00,160.92,104448,2244,101388,149.0360,157.0850,153.1240,2.4360,58.23,17,0
19,633.8630,29.30,179.85,116736,2508,113316,149.0100,156.3330,152.6790,2.3290,53.69,19,0
21,636.1130,32.50,198.08,129024,2772,125244,148.9860,156.3050,152.8580,2.3260,54.29,21,0
23,637.4380,36.00,216.49,141312,3036,137172,149.0270,156.7260,152.9000,2.5120,51.31,23,0
25,638.8520,39.00,234.80,153600,3300,149100,148.9980,156.7840,153.0760,2.4080,56.80,25,0
27,641.6570,41.80,252.47,165888,3564,161028,149.0440,156.3170,152.9160,2.2960,54.45,27,0
29,643.4830,44.70,270.31,178176,3828,172956,148.8990,156.8250,152.7460,2.2450,58.62,29,0
31,643.4510,48.00,289.07,190464,4092,184884,148.8630,156.4170,152.7530,2.3140,55.16,31,0
33,644.8310,51.00,307.06,202752,4356,196812,148.8510,156.7050,152.8260,2.4070,52.43,33,0
35,925.8940,44.20,267.26,215040,4620,208740,148.9950,243.3790,157.2950,19.4900,59.43,35,0
37,689.4680,54.50,329.06,227328,4884,220668,148.9200,157.7030,152.8070,2.5980,54.87,37,0
39,650.3130,59.40,359.83,239616,5148,232596,148.9330,157.4290,153.0330,2.5420,58.46,39,0
41,712.7680,58.50,354.14,251904,5412,244524,148.9260,176.6380,153.7510,5.3300,65.37,41,0
43,654.5530,65.20,394.17,264192,5676,256452,148.9100,158.0410,153.3780,2.7260,60.46,43,0
45,732.9750,62.90,381.87,276480,5940,268380,148.8430,157.9500,153.2490,2.6640,60.67,45,0
47,696.1610,68.30,412.76,288768,6204,280308,148.9150,158.1950,153.3430,2.6280,60.21,47,0
49,678.9600,72.10,435.48,301056,6468,292236,149.5720,177.6340,154.0490,5.1900,63.27,49,0
51,736.2450,70.30,425.69,313344,6732,304164,149.8140,196.0850,155.2780,9.2160,68.04,51,0
53,797.9980,71.80,434.04,325632,6996,316092,149.8330,157.8060,153.5100,2.3010,56.98,53,0
55,779.5940,75.50,456.93,337920,7260,328020,149.8470,176.4610,153.9990,4.6910,63.09,55,0
57,719.5870,80.40,485.04,350208,7524,339948,149.8510,177.1760,154.1310,4.7270,66.67,57,0
59,699.4510,84.50,510.33,362496,7788,351876,149.8610,195.6710,155.0320,8.8600,69.32,59,0
61,800.0960,81.50,492.10,374784,8052,363804,149.8480,195.4070,154.2330,6.7950,68.36,61,0
63,731.8670,87.80,529.25,387072,8316,375732,149.8300,177.6420,154.0230,4.7580,62.70,63,0
65,751.7990,89.10,537.62,399360,8580,387660,149.8330,158.3730,153.6910,2.4720,60.31,65,0
67,672.9400,99.00,597.38,411648,8844,399588,149.7980,158.0690,153.6120,2.4460,60.00,67,0
69,689.2190,100.00,602.88,423936,9108,411516,149.8380,176.3560,153.8070,4.4480,61.30,69,0
71,678.0510,104.10,628.28,436224,9372,423444,149.8750,157.7400,153.7860,2.2900,62.54,71,0
73,680.2510,106.90,643.71,448512,9636,435372,149.8760,158.0360,153.8750,2.2510,63.01,73,0
75,723.9190,105.30,634.72,460800,9900,447300,149.8610,157.9960,153.9790,2.2450,66.53,75,0
77,725.1960,108.00,650.78,473088,10164,459228,149.8650,157.7740,153.9440,2.0670,69.61,77,0
79,686.3200,114.60,690.65,485376,10428,471156,149.8790,157.8210,154.0710,2.1120,69.62,79,0
81,818.1990,106.60,641.82,497664,10692,483084,149.8640,157.8770,153.9600,2.1510,69.88,81,0
83,874.3010,106.40,640.74,509952,10956,495012,149.8460,175.9960,154.1990,3.9710,72.17,83,0
85,707.4850,120.10,724.08,522240,11220,506940,149.8750,179.1300,154.8890,4.7310,72.47,85,0
87,729.4170,120.90,729.27,534528,11484,518868,149.8720,177.2750,154.2250,4.0780,73.33,87,0
89,709.8620,125.60,755.77,546816,11748,530796,149.8860,177.1600,154.3520,4.0030,75.05,89,0
91,788.4540,122.70,740.62,559104,12012,542724,149.8680,157.9460,153.9930,2.1930,70.88,91,0
93,713.1960,130.50,785.98,571392,12276,554652,149.8690,177.5600,154.2880,3.9790,75.91,93,0
95,717.4680,132.70,798.61,583680,12540,566580,149.7690,176.9760,154.3940,3.8690,76.10,95,0
97,711.4240,136.20,820.33,595968,12804,578508,149.8380,176.1060,154.1400,3.7610,73.20,97,0
99,759.5560,132.50,798.32,608256,13068,590436,149.8380,177.0540,154.4650,4.6140,72.43,99,0
101,829.7330,130.70,785.84,620544,13332,602364,149.8460,157.8330,154.0160,2.1020,71.29,101,0
103,738.5810,140.90,849.38,632832,13596,614292,149.8660,158.0160,153.9620,2.1750,70.97,103,0
105,841.3500,134.30,808.60,645120,13860,626220,149.8510,158.3120,154.1010,2.1870,73.81,105,0
107,798.4530,142.40,856.72,657408,14124,638148,149.8400,158.0100,154.0860,2.1670,73.65,107,0
109,709.9670,153.00,921.19,669696,14388,650076,149.8380,157.9550,154.0710,2.2020,72.29,109,0
111,748.2490,150.30,904.46,681984,14652,662004,149.8540,158.2440,154.1070,2.1530,69.46,111,0
113,749.2230,152.80,919.45,694272,14916,673932,149.8510,157.8330,153.8980,2.1790,71.06,113,0
115,715.6610,160.20,964.17,706560,15180,685860,149.8440,158.5310,154.2590,2.1590,74.08,115,0
117,717.1520,162.70,978.88,718848,15444,697788,149.8470,157.8750,154.0630,2.1140,71.20,117,0
119,826.4250,152.60,918.81,731136,15708,709716,149.8460,177.3230,154.1800,3.7030,74.37,119,0
121,807.1280,153.70,924.68,743424,15972,721644,149.8380,178.3120,154.4850,4.0420,76.28,121,0
123,774.5320,160.80,660.87,755712,16236,733572,149.8400,196.1160,154.3240,5.2910,75.04,123,0
125,837.7210,157.80,224.48,768000,16500,745500,149.8380,195.0330,154.4040,5.1860,75.92,125,0
127,739.5290,171.80,86.95,780288,16764,757428,149.8500,176.0260,154.2340,3.6210,74.57,127,0
129,853.2290,159.90,220.16,792576,17028,769356,149.8270,196.2560,154.4740,5.8990,75.27,129,0
131,895.5620,157.20,189.31,804864,17292,781284,149.8320,158.1540,153.8790,2.1660,69.77,131,0
133,891.7200,160.80,202.29,817152,17556,793212,149.8310,215.5450,154.4240,6.5830,81.20,133,0
135,818.1440,168.40,241.05,829440,17820,805140,149.8240,177.3380,154.2480,3.6640,73.26,135,0
137,821.0690,170.70,242.09,841728,18084,817068,149.8190,177.3680,154.1920,3.6720,73.43,137,0
139,1036.8270,151.80,232.23,854016,18348,828996,149.8420,158.4750,154.1370,2.1890,74.53,139,0
141,770.7540,184.60,80.98,866304,18612,840924,149.8000,159.0810,154.0550,2.2690,71.35,141,0
143,769.4160,187.40,82.46,878592,18876,852852,149.8230,158.3650,154.1070,2.1850,72.66,143,0
145,741.0010,195.30,1.15,890880,19140,864780,149.8190,158.2670,153.9790,2.1410,70.14,145,0
147,779.5590,190.80,80.47,903168,19404,876708,149.8400,158.3340,154.1210,2.1590,72.72,147,0
149,759.1340,196.30,101.68,915456,19668,888636,149.8360,177.1380,154.1220,3.5640,74.30,149,0
151,777.2720,195.90,87.11,927744,19932,900564,149.8160,158.2240,154.0930,2.2250,74.04,151,0
153,777.4950,198.20,88.55,940032,20196,912492,149.7920,176.6760,154.3270,4.1190,73.60,153,0
155,779.6890,200.50,88.77,952320,20460,924420,149.8060,158.3770,154.0140,2.2050,71.48,155,0
157,752.4100,208.10,1.22,964608,20724,936348,149.8120,158.0460,154.1580,2.1040,73.88,157,0
159,768.4000,207.10,1.22,976896,20988,948276,149.8170,178.5460,154.2890,3.7850,75.41,159,0
161,755.9060,212.60,1.25,989184,21252,960204,149.8000,157.9360,153.8670,2.1620,70.87,161,0
163,756.6950,214.80,1.26,1001472,21516,972132,149.8180,158.2150,154.0160,2.2170,70.92,163,0
165,773.1130,213.40,1.25,1013760,21780,984060,149.8330,177.7010,154.2700,4.1440,74.00,165,0
167,789.1120,213.20,95.90,1026048,22044,995988,149.8000,157.9780,153.7280,2.2970,63.23,167,0
169,795.8890,215.10,91.21,1038336,22308,1007916,149.7870,158.1730,153.6440,2.3560,60.77,169,0
171,759.7850,224.50,1.32,1050624,22572,1019844,149.7840,157.9550,153.5710,2.3680,59.36,171,0
173,805.6170,218.00,89.38,1062912,22836,1031772,149.8050,158.6130,153.5770,2.3890,59.36,173,0
175,823.9120,218.40,79.11,1075200,23100,1043700,149.8000,221.2270,154.0880,6.9690,67.71,175,0
177,766.8440,230.50,1.35,1087488,23364,1055628,149.7850,158.4860,153.6710,2.3490,64.80,177,0
179,771.0360,231.60,1.36,1099776,23628,1067556,149.7940,158.4190,153.4640,2.3080,59.83,179,0
181,807.5660,226.60,98.06,1112064,23892,1079484,149.7920,158.1760,153.6360,2.3390,63.21,181,0
183,776.0920,235.30,1.38,1124352,24156,1091412,149.7900,159.7540,153.5740,2.3890,63.83,183,0
185,804.1350,231.60,1.36,1136640,24420,1103340,149.7880,158.4180,153.5510,2.3580,60.16,185,0
187,779.3220,239.50,1.41,1148928,24684,1115268,149.8000,158.8430,153.6050,2.3410,61.87,187,0
189,872.0360,227.00,71.39,1161216,24948,1127196,149.8260,179.0370,154.1110,4.3280,70.37,189,0
191,794.8000,240.60,1.41,1173504,25212,1139124,149.7840,176.6730,153.6150,3.5430,62.51,191,0
193,817.2770,237.90,1.40,1185792,25476,1151052,149.8150,195.7870,153.8980,4.6750,71.19,193,0
195,995.3210,213.30,242.39,1198080,25740,1162980,149.8010,176.9220,153.7020,3.5490,62.67,195,0
197,955.6860,224.40,58.78,1210368,26004,1174908,149.8100,198.1780,154.1820,4.9670,71.12,197,0
199,1150.2960,187.00,321.92,1222656,26268,1186836,149.7970,216.2760,154.2870,6.4740,76.03,199,0
201,886.6550,237.00,75.65,1234944,26532,1198764,149.8170,196.9190,153.8720,4.7170,67.91,201,0
203,831.5220,244.60,1.44,1247232,26796,1210692,149.7970,214.2120,153.9080,5.7490,71.82,203,0
205,964.5660,223.80,76.54,1259520,27060,1222620,149.8110,196.3980,154.0490,5.2220,70.93,205,0
207,847.6680,247.20,1.45,1271808,27324,1234548,149.7860,177.4490,153.7440,3.4910,66.19,207,0
209,918.0490,237.80,78.30,1284096,27588,1246476,149.8110,216.1180,154.1930,6.7490,72.63,209,0
211,1086.7710,212.20,234.00,1296384,27852,1258404,149.8190,233.9220,154.3270,7.9170,76.92,211,0
213,930.7090,233.60,1.37,1308672,28116,1270332,149.8010,216.6950,154.2680,6.9320,72.77,213,0
215,1055.3940,212.30,79.95,1320960,28380,1282260,149.7960,292.0280,154.7300,11.7620,88.84,215,0
217,1103.8300,213.40,251.49,1333248,28644,1294188,149.7910,248.3330,154.5370,8.9700,69.91,217,0
219,903.8940,246.50,1.45,1345536,28908,1306116,149.8030,196.2610,153.8700,4.5910,67.76,219,0
221,905.9930,247.60,1.45,1357824,29172,1318044,149.7980,177.8120,153.9850,3.6820,68.10,221,0
223,960.9770,243.50,83.48,1370112,29436,1329972,149.8070,195.6360,154.0000,5.0610,72.51,223,0
225,891.2160,256.60,1.51,1382400,29700,1341900,149.8050,177.7680,153.9700,3.5590,68.36,225,0
227,897.8380,258.80,1.52,1394688,29964,1353828,149.8140,159.1510,153.8360,2.5350,64.45,227,0
229,1147.8480,211.40,160.30,1406976,30228,1365756,149.8000,214.6550,154.2770,6.1510,75.33,229,0
231,999.1200,248.10,171.32,1419264,30492,1377684,149.8230,196.4720,154.0640,5.0730,70.82,231,0
233,908.6850,267.00,87.27,1431552,30756,1389612,149.8030,196.0100,153.9710,4.5160,73.22,233,0
235,987.2810,255.30,174.65,1443840,31020,1401540,149.7870,177.0750,153.8710,3.5320,68.64,235,0
237,864.7760,277.20,1.63,1456128,31284,1413468,149.7960,177.5780,153.8800,3.5490,68.52,237,0
239,950.4690,262.00,89.21,1468416,31548,1425396,149.8040,178.1940,153.9990,3.5920,66.26,239,0
241,861.8340,280.20,1.64,1480704,31812,1437324,149.8010,196.4550,154.1130,5.0330,71.60,241,0
243,931.9990,271.20,90.93,1492992,32076,1449252,149.8110,176.7600,153.9480,3.5070,67.45,243,0
245,865.6890,284.90,1.67,1505280,32340,1461180,149.8240,158.8930,153.9120,2.5190,64.73,245,0
247,1138.2290,234.10,274.03,1517568,32604,1473108,149.8020,189.8330,153.9690,4.2050,72.59,247,0
249,908.5820,276.60,1.62,1529856,32868,1485036,149.7980,177.7400,154.0400,4.0300,68.23,249,0
251,875.5650,288.50,1.69,1542144,33132,1496964,149.8140,158.6690,153.8940,2.4930,65.74,251,0
253,912.8720,279.90,1.64,1554432,33396,1508892,149.8060,159.8040,153.8690,2.6090,66.09,253,0
255,925.9720,285.80,95.35,1566720,33660,1520820,149.8140,158.5300,153.7600,2.4990,64.94,255,0
257,850.5180,301.60,1.77,1579008,33924,1532748,149.7960,158.9500,153.8150,2.5090,66.22,257,0
259,851.7730,303.60,1.78,1591296,34188,1544676,149.7880,158.4160,153.8660,2.4970,65.64,259,0
261,863.2540,302.00,1.77,1603584,34452,1556604,149.7960,195.2950,154.0040,4.4190,71.84,261,0
263,923.3690,287.70,1.69,1615872,34716,1568532,149.7980,162.1470,154.0410,2.9030,67.38,263,0
265,938.3070,286.50,1.68,1628160,34980,1580460,149.7990,160.8490,153.9520,2.6780,65.32,265,0
267,896.7630,300.40,1.76,1640448,35244,1592388,149.7980,158.4260,153.8230,2.4960,65.58,267,0
269,866.8040,309.80,1.82,1652736,35508,1604316,149.7960,177.3370,153.8420,3.4230,70.30,269,0
271,868.3610,311.70,1.83,1665024,35772,1616244,149.7910,196.8530,154.0010,4.3500,71.96,271,0
273,1449.3500,243.90,183.42,1677312,36036,1628172,149.8180,761.9600,187.6230,119.6380,78.06,273,0
275,871.3710,315.10,1.85,1689600,36300,1640100,149.8400,159.2360,154.6770,2.4730,63.75,275,0
277,874.7560,316.00,1.85,1701888,36564,1652028,149.8190,180.4200,154.8100,3.6570,69.71,277,0
279,988.6670,291.90,1.71,1714176,36828,1663956,149.8380,177.9670,154.7320,3.4200,67.89,279,0
281,900.1450,312.60,1.84,1726464,37092,1675884,149.8240,177.9600,154.7120,3.4490,67.62,281,0
283,903.8220,314.10,1.84,1738752,37356,1687812,149.8560,190.7250,154.8130,4.0830,71.55,283,0
285,887.8240,320.60,1.88,1751040,37620,1699740,149.8220,160.7290,154.7230,2.5430,64.45,285,0
287,911.7730,315.40,1.85,1763328,37884,1711668,149.8410,179.0310,154.7330,3.4410,69.93,287,0
289,880.7300,327.60,1.93,1775616,38148,1723596,149.8430,160.6560,154.6550,2.5120,65.19,289,0
291,888.7120,327.00,1.92,1787904,38412,1735524,149.8210,159.8620,154.6750,2.5420,65.26,291,0
293,963.5860,313.60,1.84,1800192,38676,1747452,149.8370,183.1900,154.8550,3.9090,70.10,293,0
295,908.2430,325.40,1.91,1812480,38940,1759380,149.8190,162.4570,154.6210,2.5410,66.30,295,0
297,1008.4810,308.00,100.51,1824768,39204,1771308,145.4290,266.5770,154.3260,13.9110,75.02,297,0
299,906.0590,330.70,1.74,1837056,39468,1783236,144.8340,158.9420,152.4780,3.4450,69.66,299,0
301,1009.4800,310.50,1.82,1849344,39732,1795164,146.0870,260.4960,153.7260,9.1800,73.02,301,0
303,915.8460,331.90,1.85,1861632,39996,1807092,147.2080,188.8030,153.8590,5.2770,76.44,303,0
305,928.9920,329.50,1.83,1873920,40260,1819020,147.2100,178.0280,153.7770,4.5170,75.08,305,0
307,1008.4390,315.10,1.75,1886208,40524,1830948,147.2330,223.9290,153.9530,6.1540,82.77,307,0
309,983.1050,324.10,1.80,1898496,40788,1842876,147.2310,178.6830,153.9070,4.4380,75.40,309,0
