Mon Mar 16 09:21:32 2015
number_of_requests,total_time_test,req_per_sec_v2,speed,traffic_total,traffic_header,traffic_data,min_request,max_request,mean_request,sd_request,sd_percent_request,succeeded_requests,succeeded_failed
1,579.6930,1.00,4.13,2453,131,2274,143.9050,143.9050,143.9050,0.0000,100.00,1,0
3,599.5780,4.20,11.99,7359,393,6822,144.1660,148.9790,146.4660,2.1106,56.67,3,0
5,601.0170,8.00,19.93,12265,655,11370,142.4170,149.2140,145.8760,2.7280,54.00,5,0
7,601.2660,11.00,27.89,17171,917,15918,141.8270,149.1620,145.4080,2.5470,60.00,7,0
9,604.6860,14.00,35.65,22077,1179,20466,142.2240,149.7270,146.3100,2.7260,63.33,9,0
11,604.3440,18.00,43.60,26983,1441,25014,141.7800,149.3840,146.1380,2.9220,55.45,11,0
13,604.9670,21.00,51.48,31889,1703,29562,141.6450,149.5750,145.6130,2.9420,56.15,13,0
15,604.5630,24.00,59.44,36795,1965,34110,141.6600,149.8160,145.5820,2.8880,48.67,15,0
17,605.4170,27.80,67.27,41701,2227,38658,141.7420,149.6060,145.7210,2.7140,57.65,17,0
19,605.9590,31.00,75.11,46607,2489,43206,141.6440,149.7500,145.7060,2.8980,50.53,19,0
21,607.6150,34.00,82.79,51513,2751,47754,141.6090,149.8080,145.5740,2.8400,53.81,21,0
23,609.1110,37.00,90.46,56419,3013,52302,141.6020,149.9230,145.5170,2.9940,47.39,23,0
25,628.1850,39.80,95.94,61325,3275,56850,141.6290,168.4310,146.6420,6.4060,47.60,25,0
27,653.0820,42.10,101.52,66231,3537,61398,141.6340,149.7470,146.1900,2.8780,50.74,27,0
29,612.3950,47.00,113.34,71137,3799,65946,141.5710,149.9290,145.8510,2.7970,49.31,29,0
31,615.1050,50.00,120.73,76043,4061,70494,141.6170,149.7110,146.0310,2.8230,48.07,31,0
33,615.0150,53.00,128.54,80949,4323,75042,141.5890,149.7140,145.5160,3.0600,37.27,33,0
35,616.8640,56.00,135.92,85855,4585,79590,141.6030,149.6820,145.6820,2.8680,44.00,35,0
37,618.5520,59.10,143.19,90761,4847,84138,141.5930,149.9500,145.9270,2.9590,49.73,37,0
