Sun Mar 15 22:31:45 2015
number_of_requests,total_time_test,req_per_sec_v2,speed,traffic_total,traffic_header,traffic_data,min_request,max_request,mean_request,sd_request,sd_percent_request,succeeded_requests,succeeded_failed
1,598.5880,1.00,3.82,2403,87,2274,148.2790,148.2790,148.2790,0.0000,100.00,1,0
3,604.5940,4.30,11.64,7209,261,6822,145.9790,149.9310,147.9380,1.7586,60.00,3,0
5,607.0160,8.00,19.33,12015,435,11370,145.7880,150.5720,148.1110,1.8990,58.00,5,0
7,608.0160,11.00,27.02,16821,609,15918,145.5660,150.6070,148.2270,1.8835,64.28,7,0
9,610.6890,14.00,34.58,21627,783,20466,145.4970,151.1510,148.0310,2.0920,57.78,9,0
11,609.1520,17.70,42.38,26433,957,25014,145.5320,150.9190,147.7360,1.8980,64.55,11,0
13,611.0490,21.00,49.92,31239,1131,29562,145.5170,151.2910,147.9380,2.0670,56.15,13,0
15,611.1470,24.00,57.59,36045,1305,34110,145.5150,151.3220,147.9500,1.9850,62.00,15,0
17,613.1750,27.00,64.96,40851,1479,38658,145.4340,151.2470,147.7070,2.0630,61.76,17,0
19,614.1480,30.10,72.60,45657,1653,43206,145.4300,151.3710,147.8720,2.1320,51.58,19,0
21,616.3060,34.00,79.96,50463,1827,47754,145.5930,151.2460,147.8670,2.1370,60.95,21,0
23,617.1580,37.00,87.45,55269,2001,52302,145.5870,151.2990,148.0070,2.0560,51.30,23,0
25,619.3030,40.00,94.73,60075,2175,56850,145.5460,151.2920,147.8040,2.0520,57.60,25,0
27,621.1130,43.00,102.01,64881,2349,61398,145.5660,151.3090,148.0160,2.0890,53.33,27,0
29,621.9480,46.00,109.42,69687,2523,65946,145.5600,151.2720,148.1680,2.1580,43.10,29,0
31,624.0740,49.00,116.57,74493,2697,70494,145.5570,151.2510,147.9730,2.1310,54.19,31,0
33,626.1640,52.00,123.67,79299,2871,75042,145.5450,151.2720,148.0720,2.0950,60.00,33,0
35,626.5510,55.10,131.09,84105,3045,79590,145.5550,151.3210,147.9960,2.1210,51.15,35,0
37,628.3220,58.30,138.19,88911,3219,84138,145.5440,151.2730,148.0650,2.1160,46.49,37,0
39,710.1760,56.50,133.94,93717,3393,88686,145.5440,151.2020,147.9500,2.0880,54.10,39,0
41,673.8390,61.80,146.21,98523,3567,93234,145.5490,151.3110,147.8740,2.1160,57.56,41,0
43,786.0110,59.00,140.22,103329,3741,97782,145.5420,169.9780,148.6300,4.7930,51.40,43,0
45,765.5930,63.10,149.11,108135,3915,102330,145.5480,187.7640,148.9630,7.2530,62.00,45,0
47,775.2990,63.10,149.32,112941,4089,106878,145.5430,187.8470,149.0290,7.1190,56.81,47,0
49,852.5210,62.70,148.61,117747,4263,111426,145.5570,151.3620,148.0840,2.1940,46.33,49,0
