Sat Mar 14 17:04:38 2015
number_of_requests,total_time_test,req_per_sec_v2,speed,traffic_total,traffic_header,traffic_data,min_request,max_request,mean_request,sd_request,sd_percent_request,succeeded_requests,succeeded_failed
1,1145.0000,0.00,2.05,2403,87,2274,284.5990,284.5990,284.5990,0.0000,100.00,1,0
3,1165.0000,2.00,6.06,7209,261,6822,281.3070,289.2170,285.1320,3.4591,56.67,3,0
5,1161.0000,4.00,10.12,12015,435,11370,280.6430,288.6670,284.0230,3.0770,76.00,5,0
7,1170.0000,6.00,14.09,16821,609,15918,278.8520,290.3130,283.9800,4.0840,58.57,7,0
9,1168.0000,7.00,18.13,21627,783,20466,278.1570,289.8330,284.2570,4.0570,63.33,9,0
11,1170.0000,9.00,22.10,26433,957,25014,278.1660,290.3440,284.5100,3.9190,60.00,11,0
13,1170.0000,11.00,26.11,31239,1131,29562,277.5630,290.3960,284.3400,4.3700,61.54,13,0
15,1170.0000,12.00,30.11,36045,1305,34110,277.5480,290.3780,283.8700,4.4370,56.67,15,0
17,1167.0000,14.00,34.22,40851,1479,38658,276.9630,289.2300,283.2090,4.1660,48.82,17,0
19,1160.0000,16.00,38.46,45657,1653,43206,274.6860,287.5170,281.4580,4.3960,50.53,19,0
21,1160.0000,18.00,42.48,50463,1827,47754,274.6440,287.5730,280.4140,4.2920,50.00,21,0
23,1160.0000,19.00,46.46,55269,2001,52302,274.6340,287.5090,280.7860,4.2970,53.04,23,0
25,1163.0000,21.00,50.38,60075,2175,56850,274.6890,287.7570,281.3880,4.1230,56.80,25,0
27,1165.0000,23.00,54.39,64881,2349,61398,274.6440,287.5530,281.1960,4.5770,47.04,27,0
29,1166.0000,24.00,58.34,69687,2523,65946,274.6340,287.5060,280.9450,4.3330,52.41,29,0
31,1169.0000,26.00,62.29,74493,2697,70494,274.6330,287.5100,280.8670,4.4640,49.03,31,0
33,1170.0000,28.00,66.19,79299,2871,75042,274.6230,287.5430,281.1180,4.4140,50.91,33,0
35,1171.0000,29.00,70.06,84105,3045,79590,274.6370,287.5930,281.3290,4.2490,53.43,35,0
37,1173.0000,31.00,73.96,88911,3219,84138,274.6070,287.5930,281.2670,4.5150,48.38,37,0
